id,name,games_played,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct,career_pts,championships,role
1,LeBron James,1551,27.0,7.52,7.42,1.5,0.739,0.508,0.736,0.348,41941,4,Forward
2,Kevin Durant,1166,27.3,6.96,4.4,1.03,1.15,0.505,0.882,0.386,31835,4,Forward
3,James Harden,1249,24.0,5.81,7.5,1.47,0.572,0.437,0.86,0.362,29931,0,Guard
4,Russell Westbrook,1300,20.9,6.97,8.01,1.55,0.335,0.439,0.751,0.3,27228,0,Guard
5,Stephen Curry,1016,24.7,4.69,6.38,1.51,0.257,0.471,0.909,0.426,25117,4,Guard
6,DeMar DeRozan,1175,21.3,4.4,4.08,0.994,0.328,0.47,0.838,0.275,25027,0,Guard-Forward
7,Chris Paul,1342,17.1,4.42,9.27,2.01,0.16,0.467,0.874,0.367,22905,0,Guard
8,Damian Lillard,900,25.1,4.27,6.74,0.971,0.297,0.438,0.895,0.371,22598,0,Guard
9,Giannis Antetokounmpo,850,23.8,9.91,4.94,1.12,1.24,0.536,0.7,0.269,20255,1,Forward
10,Anthony Davis,822,24.2,10.8,2.58,1.32,2.3,0.524,0.79,0.251,19931,1,Forward-Center
11,Paul George,908,20.6,6.26,3.71,1.7,0.442,0.44,0.846,0.378,18697,0,Forward
12,Kyrie Irving,839,23.9,4.14,5.6,1.3,0.455,0.475,0.889,0.391,20056,1,Guard
13,Brook Lopez,1094,15.9,6.11,1.45,0.575,1.86,0.495,0.803,0.213,17352,1,Center
14,Bradley Beal,796,21.6,4.06,4.29,1.1,0.422,0.463,0.812,0.379,17187,0,Guard
15,Nikola Vučević,1032,17.6,10.5,2.95,0.849,0.855,0.495,0.767,0.312,18183,1,Center
16,Klay Thompson,855,19.2,3.53,2.31,0.845,0.516,0.45,0.861,0.412,16431,4,Guard
17,Mike Conley,1229,14.0,2.94,5.72,1.36,0.206,0.437,0.826,0.385,17193,0,Guard
18,Kyle Lowry,1308,13.3,4.08,5.83,1.24,0.297,0.422,0.817,0.348,17422,0,Guard
19,Jrue Holiday,1029,15.9,4.19,6.23,1.42,0.519,0.461,0.793,0.37,16327,2,Guard
20,Devin Booker,663,24.5,4.04,5.2,0.865,0.283,0.462,0.87,0.355,16206,0,Guard
21,Nikola Jokić,737,21.6,10.9,7.2,1.26,0.725,0.555,0.825,0.354,15945,1,Center
