season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2014-15,1610612753,47,243,5.17,3.6,0.702,0.447,0.468,0.447,0.721,0.271
2015-16,1610612753,78,719,9.22,6.5,1.64,0.756,0.705,0.473,0.668,0.296
2016-17,1610612753,80,1019,12.7,5.06,1.88,0.812,0.5,0.454,0.719,0.288
2017-18,1610612753,58,1022,17.6,7.88,2.34,1.02,0.776,0.434,0.698,0.336
2018-19,1610612753,78,1246,16.0,7.36,3.71,0.731,0.718,0.449,0.731,0.349
2019-20,1610612753,62,894,14.4,7.66,3.68,0.823,0.629,0.437,0.674,0.308
2020-21,1610612753,25,364,14.6,6.64,4.2,0.64,0.8,0.437,0.629,0.375
2020-21,1610612743,25,254,10.2,4.72,2.24,0.68,0.56,0.5,0.705,0.266
2020-21,0,50,618,12.4,5.68,3.22,0.66,0.68,0.463,0.651,0.335
2021-22,1610612743,75,1126,15.0,5.85,2.51,0.587,0.587,0.52,0.743,0.335
2022-23,1610612743,68,1109,16.3,6.56,2.99,0.794,0.75,0.564,0.608,0.347
2023-24,1610612743,73,1013,13.9,6.45,3.55,0.767,0.616,0.556,0.658,0.29
2024-25,1610612743,43,613,14.3,4.93,3.09,0.465,0.233,0.528,0.814,0.458
