season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2007-08,1610612737,81,821,10.1,9.69,1.53,0.741,0.938,0.499,0.731,0.0
2008-09,1610612737,67,773,11.5,9.31,2.43,0.791,1.42,0.525,0.727,0.0
2009-10,1610612737,81,1148,14.2,9.86,2.33,0.728,1.12,0.551,0.789,1.0
2010-11,1610612737,77,1178,15.3,9.32,3.45,0.766,1.04,0.557,0.798,0.5
2011-12,1610612737,11,136,12.4,7.0,2.18,0.909,1.27,0.553,0.733,0.0
2012-13,1610612737,74,1289,17.4,10.2,3.24,1.05,1.05,0.543,0.644,0.5
2013-14,1610612737,29,538,18.6,8.41,2.62,0.931,1.52,0.567,0.682,0.364
2014-15,1610612737,76,1156,15.2,7.16,3.21,0.895,1.29,0.538,0.759,0.306
2015-16,1610612737,82,1249,15.2,7.27,3.21,0.829,1.48,0.505,0.798,0.344
2016-17,1610612738,68,952,14.0,6.84,4.96,0.765,1.26,0.473,0.8,0.355
2017-18,1610612738,72,927,12.9,7.38,4.71,0.597,1.08,0.489,0.783,0.429
2018-19,1610612738,68,925,13.6,6.74,4.16,0.868,1.26,0.535,0.821,0.36
2019-20,1610612755,67,798,11.9,6.81,4.03,0.776,0.91,0.45,0.762,0.35
2020-21,1610612760,28,398,14.2,6.71,3.36,0.893,0.929,0.45,0.818,0.368
2021-22,1610612738,69,701,10.2,7.68,3.36,0.71,1.33,0.467,0.842,0.336
2022-23,1610612738,63,616,9.78,6.19,3.0,0.476,0.968,0.476,0.714,0.446
2023-24,1610612738,65,562,8.65,6.35,2.58,0.585,0.954,0.511,0.867,0.419
2024-25,1610612738,55,465,8.45,5.95,2.09,0.618,0.855,0.416,0.875,0.357
