season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2011-12,1610612762,59,425,7.2,2.24,0.932,0.458,0.0847,0.429,0.727,0.333
2012-13,1610612762,64,451,7.05,2.27,1.44,0.547,0.203,0.42,0.713,0.359
2013-14,1610612762,78,1089,14.0,3.29,2.72,0.885,0.179,0.457,0.748,0.35
2014-15,1610612762,27,374,13.9,4.22,3.04,0.63,0.185,0.403,0.822,0.382
2015-16,1610612762,31,412,13.3,3.52,2.03,0.581,0.129,0.41,0.752,0.405
2016-17,1610612762,42,283,6.74,2.86,0.714,0.429,0.119,0.399,0.769,0.329
2017-18,1610612762,64,494,7.72,3.0,1.05,0.578,0.125,0.411,0.863,0.331
2018-19,1610612762,17,143,8.41,1.59,1.18,0.353,0.235,0.412,0.868,0.372
2018-19,1610612739,34,396,11.6,5.47,2.88,0.735,0.471,0.4,0.806,0.378
2018-19,1610612758,13,22,1.69,1.69,0.769,0.615,0.0769,0.45,0.8,0.0
2018-19,0,64,561,8.77,3.67,2.0,0.609,0.328,0.405,0.823,0.363
2019-20,1610612744,48,773,16.1,4.71,3.15,1.04,0.354,0.406,0.897,0.375
2019-20,1610612755,18,220,12.2,3.11,2.11,0.667,0.0,0.461,0.829,0.416
2019-20,0,66,993,15.0,4.27,2.86,0.939,0.258,0.418,0.887,0.385
2020-21,1610612752,49,623,12.7,4.63,2.18,0.633,0.286,0.42,0.856,0.415
2021-22,1610612752,81,944,11.7,4.9,2.95,1.05,0.321,0.391,0.822,0.404
2022-23,1610612765,51,652,12.8,3.1,2.24,0.745,0.157,0.436,0.814,0.414
2023-24,1610612765,43,540,12.6,2.56,1.58,0.488,0.256,0.394,0.903,0.401
2023-24,1610612752,23,149,6.48,1.74,0.87,0.304,0.0435,0.307,0.727,0.301
2023-24,0,66,689,10.4,2.27,1.33,0.424,0.182,0.369,0.868,0.376
2024-25,1610612748,39,239,6.13,2.56,1.1,0.564,0.154,0.401,0.762,0.41
