season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2012-13,1610612765,60,476,7.93,7.62,0.5,0.983,1.58,0.608,0.371,0.5
2013-14,1610612765,81,1095,13.5,13.2,0.432,1.25,1.62,0.623,0.418,0.0
2014-15,1610612765,82,1130,13.8,13.5,0.671,0.89,1.87,0.514,0.389,0.0
2015-16,1610612765,81,1314,16.2,14.8,0.827,1.47,1.38,0.521,0.355,0.333
2016-17,1610612765,81,1105,13.6,13.8,1.11,1.53,1.1,0.53,0.386,0.286
2017-18,1610612765,78,1171,15.0,16.0,3.04,1.46,1.63,0.529,0.605,0.0
2018-19,1610612765,79,1370,17.3,15.6,1.42,1.72,1.75,0.533,0.59,0.132
2019-20,1610612765,49,870,17.8,15.8,2.82,1.98,1.67,0.53,0.584,0.0476
2019-20,1610612739,8,140,17.5,11.1,1.75,1.5,1.38,0.552,0.513,0.286
2019-20,0,57,1010,17.7,15.2,2.67,1.91,1.63,0.533,0.575,0.143
2020-21,1610612739,25,437,17.5,13.5,2.56,1.6,1.16,0.474,0.597,0.0
2020-21,1610612747,21,250,11.9,10.2,1.43,1.1,0.952,0.531,0.605,
2020-21,0,46,687,14.9,12.0,2.04,1.37,1.07,0.493,0.6,0.0
2021-22,1610612755,49,298,6.08,8.84,1.98,1.14,0.918,0.538,0.512,0.0
2021-22,1610612751,24,282,11.8,10.3,1.42,0.917,0.958,0.61,0.537,0.0
2021-22,0,73,580,7.95,9.32,1.79,1.07,0.932,0.57,0.524,0.0
2022-23,1610612741,67,399,5.96,6.63,0.493,0.672,0.403,0.606,0.536,0.0
2023-24,1610612741,79,663,8.39,8.96,0.468,0.924,0.608,0.556,0.592,0.0
2024-25,1610612755,40,293,7.33,7.75,0.85,0.975,0.45,0.5,0.622,0.15
