season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2014-15,1610612750,82,1387,16.9,4.56,2.07,1.05,0.61,0.437,0.76,0.31
2015-16,1610612750,81,1675,20.7,3.59,2.02,0.963,0.568,0.459,0.761,0.3
2016-17,1610612750,82,1933,23.6,4.0,2.3,1.0,0.366,0.452,0.76,0.356
2017-18,1610612750,82,1452,17.7,4.37,1.95,1.11,0.622,0.438,0.643,0.331
2018-19,1610612750,73,1321,18.1,4.82,2.52,0.959,0.658,0.412,0.699,0.339
2019-20,1610612750,42,942,22.4,5.21,3.69,0.69,0.857,0.444,0.72,0.331
2019-20,1610612744,12,233,19.4,4.58,3.58,1.33,1.42,0.457,0.672,0.339
2019-20,0,54,1175,21.8,5.07,3.67,0.833,0.981,0.447,0.709,0.332
2020-21,1610612744,71,1320,18.6,4.89,2.35,0.944,0.986,0.477,0.714,0.38
2021-22,1610612744,73,1256,17.2,4.45,2.21,1.04,0.699,0.466,0.634,0.393
2022-23,1610612744,37,633,17.1,5.03,2.3,1.22,0.757,0.473,0.611,0.396
2023-24,1610612744,71,939,13.2,4.52,1.68,0.592,0.577,0.453,0.751,0.358
2024-25,1610612744,43,755,17.6,4.58,2.37,0.93,0.767,0.444,0.777,0.379
2024-25,1610612748,13,273,21.0,3.92,3.08,1.08,1.0,0.48,0.754,0.362
2024-25,0,56,1028,18.4,4.43,2.54,0.964,0.821,0.453,0.77,0.375
