season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2012-13,1610612740,64,867,13.5,8.16,0.984,1.17,1.75,0.516,0.751,0.0
2013-14,1610612740,67,1394,20.8,10.0,1.57,1.33,2.82,0.519,0.791,0.222
2014-15,1610612740,68,1656,24.4,10.2,2.19,1.47,2.94,0.535,0.805,0.0833
2015-16,1610612740,61,1481,24.3,10.3,1.9,1.28,2.05,0.493,0.758,0.324
2016-17,1610612740,75,2099,28.0,11.8,2.09,1.25,2.23,0.505,0.802,0.299
2017-18,1610612740,75,2110,28.1,11.1,2.32,1.53,2.57,0.534,0.828,0.34
2018-19,1610612740,56,1452,25.9,12.0,3.89,1.57,2.41,0.517,0.794,0.331
2019-20,1610612747,62,1618,26.1,9.31,3.23,1.47,2.31,0.503,0.846,0.33
2020-21,1610612747,36,786,21.8,7.94,3.06,1.25,1.64,0.491,0.738,0.26
2021-22,1610612747,40,927,23.2,9.85,3.05,1.23,2.25,0.532,0.713,0.186
2022-23,1610612747,56,1451,25.9,12.5,2.64,1.05,2.04,0.563,0.784,0.257
2023-24,1610612747,76,1876,24.7,12.6,3.5,1.2,2.34,0.556,0.816,0.271
2024-25,1610612747,42,1081,25.7,11.9,3.36,1.29,2.14,0.528,0.788,0.298
2024-25,1610612742,1,26,26.0,16.0,7.0,0.0,3.0,0.556,0.667,1.0
2024-25,0,43,1107,25.7,12.0,3.44,1.26,2.16,0.528,0.786,0.312
