season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2015-16,1610612741,62,436,7.03,5.44,0.839,0.403,0.355,0.427,0.727,0.308
2016-17,1610612741,64,437,6.83,4.62,0.547,0.25,0.172,0.488,0.661,0.333
2017-18,1610612741,73,964,13.2,6.82,1.68,0.685,0.315,0.471,0.769,0.359
2018-19,1610612741,22,310,14.1,7.32,1.32,0.5,0.364,0.45,0.78,0.375
2018-19,1610612764,28,400,14.3,8.64,1.54,0.857,0.429,0.44,0.809,0.403
2018-19,0,50,710,14.2,8.06,1.44,0.7,0.4,0.444,0.794,0.393
2019-20,1610612752,66,668,10.1,5.12,1.48,0.485,0.273,0.45,0.763,0.358
2020-21,1610612749,66,754,11.4,7.06,1.08,0.788,0.394,0.523,0.74,0.471
2021-22,1610612749,72,1052,14.6,9.12,1.19,0.736,0.708,0.479,0.752,0.393
2022-23,1610612749,70,987,14.1,9.6,1.5,0.414,0.229,0.496,0.768,0.37
2023-24,1610612749,82,1130,13.8,7.4,1.27,0.829,0.415,0.508,0.79,0.407
2024-25,1610612749,46,631,13.7,8.33,2.22,0.674,0.543,0.463,0.821,0.364
