season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2017-18,1610612758,78,917,11.8,2.86,3.31,0.923,0.205,0.446,0.84,0.392
2018-19,1610612758,70,990,14.1,3.47,3.81,1.03,0.214,0.418,0.827,0.36
2019-20,1610612758,61,924,15.1,3.39,3.39,1.05,0.246,0.44,0.741,0.372
2020-21,1610612737,44,720,16.4,3.64,3.34,1.11,0.295,0.473,0.909,0.438
2021-22,1610612737,63,950,15.1,3.97,3.08,1.08,0.222,0.431,0.843,0.368
2022-23,1610612737,54,756,14.0,3.06,2.78,0.796,0.333,0.447,0.831,0.406
2023-24,1610612737,79,1333,16.9,3.44,3.13,1.22,0.329,0.428,0.921,0.374
2024-25,1610612737,24,240,10.0,2.75,2.04,0.833,0.25,0.371,0.882,0.301
2024-25,1610612746,19,233,12.3,3.37,3.26,0.684,0.211,0.484,0.85,0.408
2024-25,0,43,473,11.0,3.02,2.58,0.767,0.233,0.421,0.87,0.344
