season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2012-13,1610612764,56,780,13.9,3.77,2.45,0.893,0.518,0.41,0.786,0.386
2013-14,1610612764,73,1249,17.1,3.74,3.33,0.973,0.247,0.419,0.788,0.402
2014-15,1610612764,63,962,15.3,3.83,3.08,1.21,0.286,0.427,0.783,0.409
2015-16,1610612764,55,958,17.4,3.42,2.95,0.982,0.2,0.449,0.767,0.387
2016-17,1610612764,77,1779,23.1,3.12,3.47,1.08,0.273,0.482,0.825,0.404
2017-18,1610612764,82,1857,22.6,4.43,4.55,1.17,0.439,0.46,0.791,0.375
2018-19,1610612764,82,2099,25.6,5.01,5.46,1.48,0.707,0.475,0.808,0.351
2019-20,1610612764,57,1741,30.5,4.25,6.09,1.25,0.404,0.455,0.842,0.353
2020-21,1610612764,60,1878,31.3,4.72,4.42,1.15,0.367,0.485,0.889,0.349
2021-22,1610612764,40,928,23.2,4.72,6.62,0.9,0.375,0.451,0.833,0.3
2022-23,1610612764,50,1160,23.2,3.92,5.42,0.9,0.66,0.506,0.842,0.365
2023-24,1610612756,53,964,18.2,4.38,5.0,0.981,0.509,0.513,0.813,0.43
2024-25,1610612756,48,832,17.3,3.42,3.62,1.02,0.521,0.505,0.812,0.395
