season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2008-09,1610612751,82,1068,13.0,8.11,1.05,0.537,1.84,0.531,0.793,0.0
2009-10,1610612751,82,1542,18.8,8.65,2.28,0.671,1.7,0.499,0.817,0.0
2010-11,1610612751,82,1673,20.4,5.95,1.57,0.573,1.46,0.492,0.787,0.0
2011-12,1610612751,5,96,19.2,3.6,1.2,0.2,0.8,0.494,0.625,
2012-13,1610612751,74,1437,19.4,6.92,0.946,0.446,2.08,0.521,0.758,0.0
2013-14,1610612751,17,352,20.7,6.0,0.941,0.529,1.76,0.563,0.817,0.0
2014-15,1610612751,72,1236,17.2,7.43,0.694,0.597,1.75,0.513,0.814,0.1
2015-16,1610612751,73,1501,20.6,7.85,2.0,0.795,1.7,0.511,0.787,0.143
2016-17,1610612751,75,1539,20.5,5.37,2.35,0.507,1.65,0.474,0.81,0.346
2017-18,1610612747,74,961,13.0,3.97,1.7,0.405,1.32,0.465,0.703,0.345
2018-19,1610612749,81,1009,12.5,4.89,1.21,0.63,2.21,0.452,0.842,0.365
2019-20,1610612749,68,813,12.0,4.59,1.46,0.676,2.4,0.435,0.836,0.314
2020-21,1610612749,70,859,12.3,4.96,0.714,0.571,1.47,0.503,0.845,0.338
2021-22,1610612749,13,161,12.4,4.08,0.462,0.615,1.15,0.466,0.87,0.358
2022-23,1610612749,78,1239,15.9,6.67,1.27,0.474,2.47,0.531,0.784,0.374
2023-24,1610612749,79,990,12.5,5.18,1.61,0.544,2.39,0.485,0.821,0.366
2024-25,1610612749,69,876,12.7,4.96,1.7,0.667,1.87,0.497,0.846,0.373
