season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2016-17,1610612740,57,488,8.56,2.91,1.35,0.316,0.123,0.393,0.879,0.369
2016-17,1610612758,25,378,15.1,4.12,1.76,0.8,0.08,0.48,0.814,0.428
2016-17,0,82,866,10.6,3.28,1.48,0.463,0.11,0.426,0.842,0.391
2017-18,1610612758,80,1079,13.5,3.84,1.94,1.06,0.275,0.446,0.877,0.431
2018-19,1610612758,82,1695,20.7,5.02,2.5,0.707,0.402,0.458,0.886,0.427
2019-20,1610612758,72,1382,19.2,4.56,2.96,0.917,0.236,0.429,0.846,0.394
2020-21,1610612758,71,1176,16.6,4.7,3.62,0.887,0.423,0.406,0.846,0.391
2021-22,1610612758,55,792,14.4,4.02,1.91,0.873,0.273,0.382,0.87,0.368
2021-22,1610612754,26,473,18.2,5.08,4.77,0.962,0.385,0.447,0.886,0.362
2021-22,0,81,1265,15.6,4.36,2.83,0.901,0.309,0.406,0.874,0.366
2022-23,1610612754,80,1344,16.8,5.0,2.81,1.15,0.325,0.458,0.822,0.425
2023-24,1610612754,52,623,12.0,3.21,2.67,0.827,0.596,0.443,0.848,0.384
2023-24,1610612755,32,390,12.2,3.19,3.03,0.844,0.344,0.426,0.923,0.389
2023-24,0,84,1013,12.1,3.2,2.81,0.833,0.5,0.436,0.881,0.386
2024-25,1610612744,71,796,11.2,3.24,1.73,0.873,0.296,0.417,0.814,0.37
