season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2013-14,1610612757,38,201,5.29,1.26,0.711,0.368,0.0526,0.416,0.676,0.375
2014-15,1610612757,62,424,6.84,1.47,1.03,0.694,0.129,0.436,0.699,0.396
2015-16,1610612757,80,1666,20.8,3.24,4.26,1.21,0.287,0.448,0.827,0.417
2016-17,1610612757,80,1837,23.0,3.61,3.56,0.9,0.525,0.48,0.912,0.421
2017-18,1610612757,81,1732,21.4,3.96,3.36,0.951,0.432,0.443,0.836,0.397
2018-19,1610612757,70,1468,21.0,4.03,2.96,0.786,0.4,0.459,0.828,0.375
2019-20,1610612757,70,1556,22.2,4.24,4.43,0.771,0.6,0.451,0.757,0.379
2020-21,1610612757,47,1087,23.1,3.94,4.74,0.936,0.447,0.458,0.812,0.402
2021-22,1610612757,36,739,20.5,4.25,4.53,1.0,0.583,0.436,0.706,0.384
2021-22,1610612740,26,631,24.3,4.46,5.85,1.31,0.0385,0.493,0.667,0.394
2021-22,0,62,1370,22.1,4.34,5.08,1.13,0.355,0.46,0.682,0.388
2022-23,1610612740,75,1568,20.9,4.37,5.72,0.933,0.507,0.437,0.769,0.389
2023-24,1610612740,66,1322,20.0,4.33,4.62,0.939,0.621,0.459,0.827,0.429
2024-25,1610612740,56,1183,21.1,3.79,4.05,0.821,0.429,0.444,0.717,0.373
