season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2016-17,1610612751,57,468,8.21,3.3,1.93,0.86,0.14,0.45,0.72,0.321
2017-18,1610612751,71,858,12.1,3.66,4.21,1.15,0.31,0.435,0.711,0.347
2018-19,1610612751,40,547,13.7,3.77,3.9,1.05,0.35,0.429,0.691,0.312
2019-20,1610612751,45,842,18.7,4.2,4.42,1.18,0.222,0.425,0.711,0.364
2020-21,1610612751,12,222,18.5,4.33,6.0,1.08,0.5,0.435,0.765,0.349
2020-21,1610612754,35,726,20.7,4.63,4.94,1.51,0.686,0.443,0.822,0.318
2020-21,0,47,948,20.2,4.55,5.21,1.4,0.638,0.441,0.811,0.326
2021-22,1610612754,39,728,18.7,3.85,4.44,0.897,0.462,0.447,0.76,0.323
2021-22,1610612739,19,258,13.6,3.37,3.95,0.842,0.263,0.435,0.745,0.313
2021-22,0,58,986,17.0,3.69,4.28,0.879,0.397,0.444,0.756,0.32
2022-23,1610612739,74,897,12.1,3.81,3.88,0.973,0.324,0.431,0.722,0.392
2023-24,1610612739,68,952,14.0,4.12,5.09,1.12,0.5,0.421,0.766,0.325
2024-25,1610612739,38,388,10.2,2.82,3.68,0.868,0.5,0.453,0.699,0.405
2024-25,1610612737,16,250,15.6,3.69,3.0,0.938,0.562,0.497,0.711,0.352
2024-25,0,54,638,11.8,3.07,3.48,0.889,0.519,0.47,0.702,0.386
