season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2005-06,1610612740,78,1258,16.1,5.13,7.83,2.24,0.0769,0.43,0.847,0.282
2006-07,1610612740,64,1104,17.2,4.38,8.89,1.84,0.0469,0.437,0.818,0.35
2007-08,1610612740,80,1684,21.1,4.01,11.6,2.71,0.05,0.488,0.851,0.369
2008-09,1610612740,78,1781,22.8,5.54,11.0,2.77,0.128,0.503,0.868,0.364
2009-10,1610612740,45,841,18.7,4.24,10.7,2.13,0.178,0.493,0.847,0.409
2010-11,1610612740,80,1268,15.8,4.09,9.78,2.35,0.0625,0.463,0.878,0.388
2011-12,1610612746,60,1189,19.8,3.55,9.05,2.53,0.0667,0.478,0.861,0.371
2012-13,1610612746,70,1186,16.9,3.74,9.69,2.41,0.143,0.481,0.885,0.328
2013-14,1610612746,62,1185,19.1,4.32,10.7,2.48,0.0645,0.467,0.855,0.368
2014-15,1610612746,82,1564,19.1,4.59,10.2,1.9,0.183,0.485,0.9,0.398
2015-16,1610612746,74,1446,19.5,4.19,9.97,2.05,0.176,0.462,0.896,0.371
2016-17,1610612746,61,1104,18.1,4.98,9.23,1.95,0.131,0.476,0.892,0.411
2017-18,1610612745,58,1081,18.6,5.4,7.88,1.66,0.241,0.46,0.919,0.38
2018-19,1610612745,58,906,15.6,4.57,8.16,1.97,0.31,0.419,0.862,0.358
2019-20,1610612760,70,1232,17.6,4.99,6.74,1.59,0.157,0.489,0.907,0.365
2020-21,1610612756,70,1149,16.4,4.46,8.89,1.41,0.271,0.499,0.934,0.395
2021-22,1610612756,65,958,14.7,4.35,10.8,1.86,0.308,0.493,0.837,0.317
2022-23,1610612756,59,819,13.9,4.25,8.88,1.54,0.373,0.44,0.831,0.375
2023-24,1610612744,58,533,9.19,3.88,6.78,1.21,0.103,0.441,0.827,0.371
2024-25,1610612759,70,617,8.81,3.63,7.74,1.26,0.214,0.426,0.94,0.384
