season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2014-15,1610612745,12,32,2.67,3.0,0.167,0.0833,0.75,0.483,0.174,
2015-16,1610612745,77,542,7.04,6.42,0.61,0.766,1.19,0.582,0.379,0.0
2016-17,1610612745,65,818,12.6,8.09,0.969,0.523,1.22,0.643,0.531,
2017-18,1610612745,74,1026,13.9,10.8,0.919,0.784,1.85,0.652,0.56,0.0
2018-19,1610612745,67,1114,16.6,12.7,1.43,0.657,1.52,0.648,0.636,
2019-20,1610612745,39,543,13.9,13.8,1.23,0.846,1.85,0.629,0.529,
2020-21,1610612737,63,956,15.2,14.3,0.778,0.698,2.05,0.594,0.573,
2021-22,1610612737,74,820,11.1,11.9,1.24,0.743,1.26,0.613,0.473,0.0
2022-23,1610612737,65,779,12.0,11.0,0.892,0.692,1.22,0.653,0.603,0.0
2023-24,1610612737,73,836,11.5,10.6,1.25,0.589,1.45,0.571,0.631,0.0
2024-25,1610612737,55,488,8.87,8.53,1.13,0.618,0.964,0.559,0.536,0.0
