season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2015-16,1610612747,80,1054,13.2,3.42,3.33,1.16,0.163,0.41,0.737,0.351
2016-17,1610612747,63,984,15.6,3.51,4.81,1.38,0.254,0.405,0.782,0.352
2017-18,1610612751,48,743,15.5,3.94,5.19,0.75,0.354,0.414,0.74,0.324
2018-19,1610612751,81,1712,21.1,3.89,6.95,1.23,0.247,0.434,0.78,0.369
2019-20,1610612744,33,779,23.6,3.7,6.24,0.939,0.273,0.43,0.785,0.374
2019-20,1610612750,12,260,21.7,4.58,6.58,1.42,0.333,0.412,0.873,0.345
2019-20,0,45,1039,23.1,3.93,6.33,1.07,0.289,0.426,0.809,0.367
2020-21,1610612750,42,796,19.0,2.64,5.81,1.07,0.429,0.431,0.765,0.387
2021-22,1610612750,65,1176,18.1,3.32,7.08,0.954,0.338,0.411,0.825,0.34
2022-23,1610612750,54,967,17.9,3.06,6.19,1.11,0.389,0.465,0.856,0.391
2022-23,1610612747,17,296,17.4,2.94,6.06,0.588,0.471,0.484,0.735,0.414
2022-23,0,71,1263,17.8,3.03,6.15,0.986,0.408,0.469,0.829,0.396
2023-24,1610612747,76,1369,18.0,3.11,6.34,0.908,0.474,0.456,0.828,0.415
2024-25,1610612747,29,359,12.4,2.76,4.69,0.793,0.138,0.415,0.849,0.333
2024-25,1610612751,25,345,13.8,2.8,5.8,1.16,0.72,0.375,0.828,0.298
2024-25,0,54,704,13.0,2.78,5.2,0.963,0.407,0.395,0.836,0.316
