season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2012-13,1610612757,82,1562,19.0,3.13,6.48,0.902,0.232,0.429,0.844,0.368
2013-14,1610612757,82,1695,20.7,3.51,5.57,0.78,0.268,0.424,0.871,0.394
2014-15,1610612757,82,1720,21.0,4.61,6.18,1.18,0.256,0.434,0.864,0.343
2015-16,1610612757,75,1879,25.1,4.03,6.83,0.867,0.373,0.419,0.892,0.375
2016-17,1610612757,75,2024,27.0,4.91,5.87,0.907,0.267,0.444,0.895,0.37
2017-18,1610612757,73,1962,26.9,4.45,6.59,1.05,0.37,0.439,0.916,0.361
2018-19,1610612757,80,2067,25.8,4.64,6.89,1.1,0.425,0.444,0.912,0.369
2019-20,1610612757,66,1978,30.0,4.3,8.03,1.06,0.333,0.463,0.888,0.401
2020-21,1610612757,67,1928,28.8,4.22,7.54,0.925,0.254,0.451,0.928,0.391
2021-22,1610612757,29,695,24.0,4.14,7.31,0.586,0.379,0.402,0.878,0.324
2022-23,1610612757,58,1866,32.2,4.78,7.33,0.862,0.31,0.463,0.914,0.371
2023-24,1610612749,73,1775,24.3,4.38,6.96,0.986,0.247,0.424,0.92,0.354
2024-25,1610612749,58,1447,24.9,4.69,7.07,1.21,0.172,0.448,0.921,0.376
