season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2017-18,1610612758,73,844,11.6,2.79,4.38,0.959,0.274,0.412,0.723,0.307
2018-19,1610612758,81,1399,17.3,3.75,7.28,1.64,0.556,0.458,0.727,0.371
2019-20,1610612758,51,1077,21.1,3.84,6.82,1.45,0.49,0.48,0.705,0.292
2020-21,1610612758,58,1461,25.2,3.5,7.19,1.5,0.466,0.477,0.719,0.322
2021-22,1610612758,59,1367,23.2,3.92,5.59,1.15,0.424,0.473,0.75,0.297
2022-23,1610612758,73,1826,25.0,4.19,6.12,1.14,0.315,0.512,0.78,0.324
2023-24,1610612758,74,1966,26.6,4.59,5.65,2.03,0.419,0.465,0.738,0.369
2024-25,1610612758,45,1124,25.0,5.0,6.13,1.47,0.444,0.469,0.829,0.322
2024-25,1610612759,17,335,19.7,4.29,6.82,1.47,0.294,0.446,0.819,0.274
2024-25,0,62,1459,23.5,4.81,6.32,1.47,0.403,0.463,0.827,0.31
