season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2008-09,1610612746,53,228,4.3,4.47,0.208,0.208,1.11,0.633,0.385,
2009-10,1610612746,70,336,4.8,5.03,0.3,0.229,0.886,0.605,0.375,0.0
2010-11,1610612746,80,566,7.08,7.19,0.525,0.512,1.77,0.686,0.452,0.0
2011-12,1610612746,66,486,7.36,8.27,0.258,0.455,2.03,0.632,0.525,0.0
2012-13,1610612746,82,724,8.83,7.24,0.341,0.585,1.37,0.643,0.386,
2013-14,1610612746,82,856,10.4,13.6,0.902,0.976,2.48,0.676,0.428,
2014-15,1610612746,82,946,11.5,15.0,0.744,0.988,2.23,0.71,0.397,0.25
2015-16,1610612746,77,980,12.7,13.8,1.17,0.662,2.3,0.703,0.43,0.0
2016-17,1610612746,81,1029,12.7,13.8,1.19,0.63,1.65,0.714,0.482,0.0
2017-18,1610612746,77,927,12.0,15.2,1.52,0.506,0.909,0.645,0.58,
2018-19,1610612742,50,551,11.0,13.7,1.98,0.66,1.06,0.644,0.682,
2018-19,1610612752,19,207,10.9,11.4,3.0,0.474,1.05,0.634,0.773,
2018-19,0,69,758,11.0,13.1,2.26,0.609,1.06,0.641,0.705,
2019-20,1610612751,56,465,8.3,10.0,1.88,0.321,0.929,0.666,0.68,
2020-21,1610612751,57,426,7.47,7.49,1.63,0.298,1.14,0.763,0.5,0.0
2021-22,1610612747,32,132,4.12,5.38,0.406,0.312,0.812,0.674,0.462,
2021-22,1610612755,16,74,4.62,5.75,0.5,0.125,0.562,0.593,0.714,
2021-22,0,48,206,4.29,5.5,0.438,0.25,0.729,0.643,0.55,
2022-23,1610612743,39,199,5.1,5.18,0.872,0.308,0.59,0.765,0.458,1.0
2023-24,1610612743,36,142,3.94,4.36,0.722,0.167,0.444,0.624,0.491,
2024-25,1610612743,47,164,3.49,4.87,0.851,0.277,0.426,0.655,0.4,
