season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2009-10,1610612761,77,662,8.6,2.9,0.688,0.558,0.234,0.498,0.763,0.25
2010-11,1610612761,82,1410,17.2,3.84,1.8,1.04,0.378,0.467,0.813,0.0962
2011-12,1610612761,63,1054,16.7,3.35,2.03,0.762,0.27,0.422,0.81,0.261
2012-13,1610612761,82,1485,18.1,3.9,2.49,0.927,0.293,0.445,0.831,0.283
2013-14,1610612761,79,1791,22.7,4.34,3.96,1.09,0.354,0.429,0.824,0.305
2014-15,1610612761,60,1204,20.1,4.62,3.5,1.22,0.183,0.413,0.832,0.284
2015-16,1610612761,78,1830,23.5,4.47,4.04,1.04,0.269,0.446,0.85,0.338
2016-17,1610612761,74,2020,27.3,5.22,3.92,1.05,0.176,0.467,0.842,0.266
2017-18,1610612761,80,1840,23.0,3.94,5.21,1.06,0.275,0.456,0.825,0.31
2018-19,1610612759,77,1635,21.2,6.0,6.17,1.12,0.468,0.481,0.83,0.156
2019-20,1610612759,68,1504,22.1,5.51,5.59,1.03,0.294,0.531,0.845,0.257
2020-21,1610612759,61,1316,21.6,4.25,6.92,0.918,0.246,0.495,0.88,0.257
2021-22,1610612741,76,2118,27.9,5.16,4.92,0.895,0.316,0.504,0.877,0.352
2022-23,1610612741,74,1816,24.5,4.64,5.09,1.12,0.486,0.504,0.872,0.324
2023-24,1610612741,79,1897,24.0,4.3,5.33,1.14,0.57,0.48,0.853,0.333
2024-25,1610612758,65,1445,22.2,3.91,4.15,0.923,0.369,0.485,0.868,0.349
