season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2013-14,1610612737,49,183,3.73,1.22,1.9,0.347,0.0,0.383,0.674,0.238
2014-15,1610612737,77,768,9.97,2.13,4.12,0.636,0.0519,0.427,0.827,0.351
2015-16,1610612737,80,879,11.0,2.55,4.36,0.875,0.113,0.421,0.791,0.322
2016-17,1610612737,79,1414,17.9,3.14,6.32,0.937,0.203,0.451,0.855,0.34
2017-18,1610612737,67,1301,19.4,3.1,6.22,1.07,0.0896,0.436,0.849,0.29
2018-19,1610612760,79,1224,15.5,3.59,4.09,0.823,0.152,0.414,0.819,0.341
2019-20,1610612760,65,1229,18.9,3.63,4.03,0.692,0.215,0.469,0.839,0.385
2020-21,1610612747,61,941,15.4,3.46,5.75,1.15,0.213,0.437,0.848,0.335
2021-22,1610612738,49,704,14.4,3.35,4.24,0.837,0.102,0.44,0.848,0.349
2021-22,1610612745,15,163,10.9,3.33,5.87,0.8,0.2,0.393,0.872,0.328
2021-22,0,64,867,13.5,3.34,4.62,0.828,0.125,0.431,0.853,0.344
2022-23,1610612747,67,830,12.4,2.46,4.45,0.746,0.149,0.415,0.857,0.329
2023-24,1610612761,51,698,13.7,2.75,6.14,0.902,0.157,0.442,0.852,0.35
2023-24,1610612751,29,424,14.6,3.52,6.03,0.586,0.31,0.424,0.797,0.412
2023-24,0,80,1122,14.0,3.02,6.1,0.787,0.212,0.435,0.836,0.375
2024-25,1610612751,23,424,18.4,2.96,6.61,1.13,0.174,0.452,0.889,0.387
2024-25,1610612744,24,254,10.6,2.33,4.38,1.04,0.125,0.375,0.744,0.322
2024-25,1610612765,19,201,10.6,2.26,4.79,0.632,0.263,0.395,0.841,0.329
2024-25,0,66,879,13.3,2.53,5.27,0.955,0.182,0.413,0.842,0.352
