season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2015-16,1610612756,76,1048,13.8,2.46,2.63,0.579,0.263,0.423,0.84,0.343
2016-17,1610612756,78,1726,22.1,3.19,3.44,0.923,0.269,0.423,0.832,0.363
2017-18,1610612756,54,1346,24.9,4.52,4.69,0.87,0.259,0.432,0.878,0.383
2018-19,1610612756,64,1700,26.6,4.14,6.77,0.875,0.203,0.467,0.866,0.326
2019-20,1610612756,70,1863,26.6,4.24,6.51,0.7,0.257,0.489,0.919,0.354
2020-21,1610612756,67,1712,25.6,4.19,4.31,0.791,0.239,0.484,0.867,0.34
2021-22,1610612756,68,1822,26.8,5.03,4.84,1.13,0.382,0.466,0.868,0.383
2022-23,1610612756,53,1471,27.8,4.53,5.53,0.962,0.34,0.494,0.855,0.351
2023-24,1610612756,68,1841,27.1,4.53,6.94,0.897,0.412,0.492,0.886,0.364
2024-25,1610612756,65,1677,25.8,4.06,7.0,0.985,0.215,0.458,0.896,0.349
