season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2016-17,1610612760,81,479,5.91,3.56,1.01,0.481,0.395,0.399,0.657,0.321
2017-18,1610612754,74,861,11.6,7.73,2.04,0.541,0.432,0.514,0.75,0.351
2018-19,1610612754,74,1043,14.1,9.32,2.86,0.649,0.405,0.59,0.715,0.529
2019-20,1610612754,62,1147,18.5,12.4,5.0,0.758,0.484,0.54,0.723,0.254
2020-21,1610612754,62,1260,20.3,12.0,6.69,1.23,0.532,0.535,0.732,0.321
2021-22,1610612754,47,888,18.9,12.1,5.02,0.979,0.468,0.58,0.74,0.324
2021-22,1610612758,15,283,18.9,12.3,5.8,0.867,0.333,0.554,0.743,0.235
2021-22,0,62,1171,18.9,12.1,5.21,0.952,0.435,0.573,0.741,0.312
2022-23,1610612758,79,1510,19.1,12.3,7.25,0.823,0.494,0.615,0.742,0.373
2023-24,1610612758,82,1593,19.4,13.7,8.21,0.902,0.585,0.594,0.704,0.379
2024-25,1610612758,58,1112,19.2,13.9,6.22,0.638,0.397,0.593,0.748,0.425
