season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2012-13,1610612744,79,227,2.87,3.29,0.671,0.532,0.316,0.327,0.818,0.209
2013-14,1610612744,82,511,6.23,4.99,1.85,1.24,0.878,0.407,0.667,0.333
2014-15,1610612744,79,921,11.7,8.19,3.68,1.56,1.25,0.443,0.66,0.337
2015-16,1610612744,81,1131,14.0,9.49,7.38,1.47,1.4,0.49,0.696,0.388
2016-17,1610612744,76,776,10.2,7.88,7.01,2.03,1.39,0.418,0.709,0.308
2017-18,1610612744,70,773,11.0,7.64,7.26,1.36,1.3,0.454,0.775,0.301
2018-19,1610612744,66,486,7.36,7.29,6.88,1.44,1.06,0.445,0.692,0.285
2019-20,1610612744,43,345,8.02,6.19,6.19,1.37,0.767,0.389,0.759,0.279
2020-21,1610612744,63,444,7.05,7.11,8.86,1.67,0.825,0.447,0.795,0.27
2021-22,1610612744,46,346,7.52,7.3,6.96,1.33,1.09,0.525,0.659,0.296
2022-23,1610612744,73,617,8.45,7.19,6.85,1.01,0.822,0.527,0.713,0.305
2023-24,1610612744,55,475,8.64,7.24,6.04,1.0,0.855,0.497,0.73,0.395
2024-25,1610612744,57,525,9.21,6.16,5.74,1.47,1.09,0.428,0.682,0.327
