season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2008-09,1610612746,78,1252,16.1,2.58,2.76,1.0,0.449,0.456,0.854,0.389
2009-10,1610612746,62,1045,16.9,2.58,3.0,1.11,0.226,0.449,0.742,0.371
2010-11,1610612746,56,1247,22.3,2.93,4.36,1.27,0.321,0.45,0.825,0.364
2011-12,1610612740,9,185,20.6,2.78,3.44,1.44,0.444,0.45,0.754,0.25
2012-13,1610612740,42,713,17.0,1.83,3.26,1.07,0.19,0.402,0.842,0.324
2013-14,1610612740,64,988,15.4,2.58,3.25,1.16,0.188,0.436,0.785,0.391
2014-15,1610612740,61,818,13.4,2.61,3.75,0.82,0.23,0.411,0.805,0.448
2015-16,1610612740,45,686,15.2,2.2,2.69,0.956,0.311,0.418,0.888,0.384
2016-17,1610612745,75,1217,16.2,2.68,2.51,0.64,0.547,0.406,0.84,0.372
2017-18,1610612745,69,1243,18.0,2.46,2.23,0.638,0.391,0.428,0.809,0.359
2018-19,1610612745,68,1103,16.2,2.18,1.9,0.603,0.397,0.409,0.783,0.36
2019-20,1610612745,36,520,14.4,1.97,1.5,0.639,0.361,0.369,0.766,0.317
2020-21,1610612745,27,481,17.8,2.15,2.63,0.519,0.481,0.433,0.825,0.329
2021-22,1610612745,57,765,13.4,1.98,2.7,0.491,0.316,0.475,0.778,0.412
2022-23,1610612745,47,615,13.1,2.06,2.89,0.638,0.362,0.439,0.815,0.347
2022-23,1610612746,22,241,11.0,1.68,2.14,0.591,0.364,0.463,0.842,0.423
2022-23,0,69,856,12.4,1.94,2.65,0.623,0.362,0.446,0.821,0.371
2023-24,1610612756,68,749,11.0,1.79,2.04,0.971,0.441,0.443,0.797,0.378
2024-25,1610612755,39,266,6.82,1.18,1.67,0.667,0.308,0.426,0.75,0.409
