season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2013-14,1610612749,77,525,6.82,4.4,1.95,0.779,0.792,0.414,0.683,0.347
2014-15,1610612749,81,1030,12.7,6.69,2.56,0.901,1.05,0.491,0.741,0.159
2015-16,1610612749,80,1350,16.9,7.65,4.31,1.18,1.41,0.506,0.724,0.257
2016-17,1610612749,80,1832,22.9,8.75,5.42,1.64,1.89,0.521,0.77,0.272
2017-18,1610612749,75,2014,26.9,10.0,4.81,1.45,1.41,0.529,0.76,0.307
2018-19,1610612749,72,1994,27.7,12.5,5.89,1.28,1.53,0.578,0.729,0.256
2019-20,1610612749,63,1857,29.5,13.6,5.62,0.968,1.05,0.553,0.633,0.304
2020-21,1610612749,61,1717,28.1,11.0,5.85,1.18,1.2,0.569,0.685,0.303
2021-22,1610612749,67,2002,29.9,11.6,5.79,1.07,1.36,0.553,0.722,0.293
2022-23,1610612749,63,1959,31.1,11.8,5.7,0.825,0.81,0.553,0.645,0.275
2023-24,1610612749,73,2222,30.4,11.5,6.52,1.19,1.08,0.611,0.657,0.274
2024-25,1610612749,58,1753,30.2,12.0,5.95,0.845,1.24,0.599,0.605,0.178
