season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2012-13,1610612744,81,748,9.23,4.11,1.21,0.642,0.173,0.439,0.758,0.359
2013-14,1610612744,78,738,9.46,3.99,1.49,0.833,0.256,0.399,0.718,0.347
2014-15,1610612744,82,827,10.1,5.52,1.41,0.744,0.232,0.482,0.72,0.405
2015-16,1610612744,66,774,11.7,4.92,1.77,0.621,0.152,0.466,0.761,0.383
2016-17,1610612742,79,1518,19.2,4.99,1.47,0.823,0.19,0.468,0.861,0.351
2017-18,1610612742,77,1452,18.9,6.08,1.97,0.636,0.182,0.445,0.827,0.357
2018-19,1610612742,49,866,17.7,4.22,1.27,0.673,0.224,0.404,0.833,0.389
2018-19,1610612758,28,399,14.2,5.5,1.89,0.607,0.0714,0.455,0.8,0.408
2018-19,0,77,1265,16.4,4.69,1.49,0.649,0.169,0.42,0.824,0.395
2019-20,1610612758,72,1046,14.5,4.93,2.21,0.597,0.167,0.46,0.801,0.381
2020-21,1610612758,58,933,16.1,6.64,3.47,0.741,0.19,0.497,0.83,0.391
2021-22,1610612758,77,1265,16.4,5.61,2.42,0.688,0.182,0.469,0.826,0.394
2022-23,1610612758,82,1230,15.0,4.46,1.56,0.695,0.122,0.473,0.847,0.374
2023-24,1610612758,82,1000,12.2,3.04,1.21,0.659,0.146,0.474,0.801,0.387
2024-25,1610612759,70,825,11.8,3.79,1.66,0.343,0.2,0.506,0.778,0.426
