season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2012-13,1610612742,78,392,5.03,2.4,1.21,0.808,0.218,0.384,0.644,0.328
2013-14,1610612742,78,356,4.56,2.49,0.769,0.756,0.269,0.439,0.754,0.331
2014-15,1610612742,25,89,3.56,1.16,0.48,0.6,0.2,0.434,0.909,0.342
2014-15,1610612738,57,539,9.46,4.63,1.44,1.0,0.351,0.418,0.762,0.282
2014-15,0,82,628,7.66,3.57,1.15,0.878,0.305,0.42,0.773,0.293
2015-16,1610612738,73,1038,14.2,5.11,1.85,1.73,0.479,0.443,0.82,0.336
2016-17,1610612738,72,999,13.9,5.76,2.15,1.01,0.319,0.463,0.811,0.398
2017-18,1610612739,53,454,8.57,3.26,1.09,0.774,0.226,0.418,0.848,0.328
2017-18,1610612762,27,319,11.8,3.78,1.52,0.852,0.333,0.386,0.768,0.316
2017-18,0,80,773,9.66,3.44,1.24,0.8,0.263,0.404,0.818,0.323
2018-19,1610612762,80,951,11.9,4.8,1.66,0.8,0.388,0.399,0.721,0.331
2019-20,1610612763,45,447,9.93,6.16,2.78,1.04,0.311,0.368,0.789,0.293
2019-20,1610612748,20,237,11.8,5.35,1.8,1.25,0.5,0.482,0.733,0.445
2019-20,0,65,684,10.5,5.91,2.48,1.11,0.369,0.401,0.776,0.343
2020-21,1610612756,60,603,10.1,4.7,2.12,0.8,0.45,0.404,0.76,0.389
2021-22,1610612756,67,632,9.43,5.28,1.85,1.42,0.448,0.399,0.789,0.348
2022-23,1610612749,18,124,6.89,3.83,1.5,0.667,0.333,0.479,0.833,0.436
2023-24,1610612749,50,312,6.24,3.22,1.32,0.76,0.18,0.422,0.722,0.349
2024-25,1610612758,7,20,2.86,2.43,0.571,0.429,0.0,0.353,0.833,0.25
