season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2009-10,1610612760,76,753,9.91,3.21,1.8,1.05,0.263,0.403,0.808,0.375
2010-11,1610612760,82,998,12.2,3.11,2.15,1.12,0.293,0.436,0.843,0.349
2011-12,1610612760,62,1044,16.8,4.06,3.69,1.0,0.242,0.491,0.846,0.39
2012-13,1610612745,78,2023,25.9,4.86,5.83,1.82,0.487,0.438,0.851,0.368
2013-14,1610612745,73,1851,25.4,4.71,6.11,1.58,0.397,0.456,0.866,0.366
2014-15,1610612745,81,2217,27.4,5.67,6.98,1.9,0.741,0.44,0.868,0.375
2015-16,1610612745,82,2376,29.0,6.11,7.46,1.7,0.622,0.439,0.86,0.359
2016-17,1610612745,81,2356,29.1,8.14,11.2,1.49,0.469,0.44,0.847,0.347
2017-18,1610612745,72,2191,30.4,5.4,8.75,1.75,0.694,0.449,0.858,0.367
2018-19,1610612745,78,2818,36.1,6.64,7.51,2.03,0.744,0.442,0.879,0.368
2019-20,1610612745,68,2335,34.3,6.56,7.53,1.84,0.882,0.444,0.865,0.355
2020-21,1610612745,8,198,24.8,5.12,10.4,0.875,0.75,0.444,0.883,0.347
2020-21,1610612751,36,885,24.6,8.53,10.9,1.28,0.75,0.471,0.856,0.366
2020-21,0,44,1083,24.6,7.91,10.8,1.2,0.75,0.466,0.861,0.362
2021-22,1610612751,44,990,22.5,7.98,10.2,1.27,0.705,0.414,0.869,0.332
2021-22,1610612755,21,442,21.0,7.1,10.5,1.24,0.238,0.402,0.892,0.326
2021-22,0,65,1432,22.0,7.69,10.3,1.26,0.554,0.41,0.877,0.33
2022-23,1610612755,58,1216,21.0,6.1,10.7,1.22,0.534,0.441,0.867,0.385
2023-24,1610612746,72,1192,16.6,5.12,8.53,1.07,0.792,0.428,0.878,0.381
2024-25,1610612746,68,1531,22.5,5.82,8.69,1.49,0.662,0.396,0.874,0.345
