season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2017-18,1610612751,72,587,8.15,5.39,0.681,0.389,1.22,0.589,0.776,0.333
2018-19,1610612751,80,873,10.9,8.4,1.38,0.537,1.5,0.59,0.709,0.133
2019-20,1610612751,70,775,11.1,9.59,1.57,0.571,1.31,0.649,0.633,0.0
2020-21,1610612751,12,134,11.2,10.4,1.67,0.583,1.58,0.677,0.754,
2020-21,1610612739,51,672,13.2,9.92,1.69,0.49,1.39,0.609,0.69,0.316
2020-21,0,63,806,12.8,10.0,1.68,0.508,1.43,0.618,0.703,0.316
2021-22,1610612739,56,904,16.1,10.8,1.64,0.786,1.34,0.677,0.708,0.1
2022-23,1610612739,68,969,14.2,9.79,1.66,0.794,1.24,0.644,0.733,0.1
2023-24,1610612739,77,1271,16.5,10.5,2.73,0.688,1.05,0.634,0.742,0.0
2024-25,1610612739,71,959,13.5,10.0,1.96,0.958,0.958,0.703,0.726,0.0
