season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2007-08,1610612760,80,838,10.5,4.74,1.49,0.575,0.613,0.427,0.744,0.276
2008-09,1610612760,78,1290,16.5,6.65,1.99,1.04,0.423,0.446,0.788,0.389
2009-10,1610612760,82,1239,15.1,5.98,1.63,1.27,0.878,0.453,0.74,0.333
2010-11,1610612760,49,744,15.2,5.59,1.82,0.816,0.429,0.437,0.818,0.304
2010-11,1610612738,26,254,9.77,3.31,0.731,0.5,0.615,0.485,0.794,0.296
2010-11,0,75,998,13.3,4.8,1.44,0.707,0.493,0.449,0.811,0.303
2012-13,1610612738,81,1036,12.8,3.93,1.58,0.691,0.84,0.467,0.808,0.385
2013-14,1610612738,82,1382,16.9,4.63,1.68,0.695,0.573,0.412,0.795,0.341
2014-15,1610612738,33,580,17.6,4.27,1.61,0.818,0.394,0.434,0.84,0.305
2014-15,1610612763,45,588,13.1,4.16,1.8,0.578,0.467,0.427,0.825,0.362
2014-15,0,78,1168,15.0,4.21,1.72,0.679,0.436,0.43,0.833,0.332
2015-16,1610612763,53,646,12.2,4.55,1.85,0.755,0.358,0.431,0.8,0.309
2015-16,1610612746,27,293,10.9,3.37,1.48,0.667,0.778,0.427,0.615,0.325
2015-16,0,80,939,11.7,4.15,1.73,0.725,0.5,0.43,0.745,0.315
2016-17,1610612753,69,638,9.25,3.1,1.17,0.536,0.188,0.394,0.863,0.275
2017-18,1610612739,78,846,10.8,3.15,1.27,0.526,0.436,0.477,0.868,0.312
2018-19,1610612764,77,946,12.3,4.01,1.78,0.558,0.506,0.475,0.888,0.347
2019-20,1610612762,30,233,7.77,2.7,0.667,0.4,0.333,0.385,0.778,0.327
2019-20,1610612745,18,220,12.2,2.89,1.67,0.778,0.5,0.564,0.857,0.354
2019-20,0,48,453,9.44,2.77,1.04,0.542,0.396,0.462,0.802,0.339
2020-21,1610612751,68,750,11.0,3.87,1.59,0.529,0.397,0.492,0.776,0.412
2021-22,1610612743,75,772,10.3,3.08,1.28,0.373,0.36,0.524,0.833,0.315
2022-23,1610612743,56,437,7.8,2.57,1.23,0.321,0.304,0.488,0.744,0.288
2023-24,1610612745,78,509,6.53,2.28,0.897,0.205,0.397,0.456,0.819,0.331
2024-25,1610612745,27,133,4.93,1.7,0.481,0.185,0.148,0.505,0.85,0.345
