season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2014-15,1610612755,65,411,6.32,3.05,1.22,0.615,1.05,0.352,0.591,0.314
2015-16,1610612755,77,749,9.73,4.69,1.75,0.701,1.65,0.419,0.658,0.24
2016-17,1610612755,2,16,8.0,3.0,0.0,0.0,2.0,0.353,0.5,0.0
2016-17,1610612760,78,421,5.4,2.55,0.59,0.423,0.962,0.469,0.619,0.377
2016-17,0,80,437,5.46,2.56,0.575,0.412,0.988,0.463,0.612,0.371
2017-18,1610612760,81,682,8.42,3.94,0.704,0.383,0.951,0.535,0.675,0.291
2018-19,1610612760,80,1090,13.6,5.21,0.988,0.762,1.25,0.497,0.71,0.392
2019-20,1610612743,71,851,12.0,3.49,1.24,0.704,0.803,0.478,0.75,0.389
2020-21,1610612765,54,1205,22.3,4.63,2.81,0.648,1.07,0.429,0.845,0.35
2021-22,1610612765,47,904,19.2,4.06,2.36,0.936,1.04,0.426,0.838,0.358
2022-23,1610612757,63,1290,20.5,4.49,2.38,0.81,0.841,0.475,0.813,0.401
2023-24,1610612757,54,1132,21.0,3.54,2.81,0.833,0.63,0.451,0.817,0.402
2024-25,1610612757,47,677,14.4,3.47,2.15,0.872,0.979,0.373,0.849,0.365
