season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2011-12,1610612741,42,109,2.6,1.33,0.333,0.262,0.119,0.405,0.768,0.182
2012-13,1610612741,82,705,8.6,4.0,1.4,0.951,0.378,0.467,0.803,0.381
2013-14,1610612741,67,878,13.1,4.93,2.61,1.9,0.537,0.397,0.769,0.283
2014-15,1610612741,65,1301,20.0,5.83,3.26,1.75,0.554,0.462,0.834,0.378
2015-16,1610612741,67,1399,20.9,5.34,4.79,1.64,0.642,0.454,0.832,0.312
2016-17,1610612741,76,1816,23.9,6.18,5.49,1.88,0.421,0.455,0.865,0.367
2017-18,1610612750,59,1307,22.2,5.32,4.88,1.97,0.407,0.474,0.854,0.35
2018-19,1610612750,10,213,21.3,5.2,4.3,2.4,1.0,0.471,0.787,0.378
2018-19,1610612755,55,1002,18.2,5.27,4.0,1.8,0.527,0.461,0.868,0.338
2018-19,0,65,1215,18.7,5.26,4.05,1.89,0.6,0.462,0.855,0.347
2019-20,1610612748,58,1157,19.9,6.66,6.03,1.78,0.552,0.455,0.834,0.244
2020-21,1610612748,52,1116,21.5,6.9,7.1,2.08,0.346,0.497,0.863,0.245
2021-22,1610612748,57,1219,21.4,5.89,5.47,1.65,0.474,0.48,0.87,0.233
2022-23,1610612748,64,1466,22.9,5.86,5.31,1.83,0.328,0.539,0.85,0.35
2023-24,1610612748,60,1246,20.8,5.3,4.97,1.32,0.283,0.499,0.858,0.414
2024-25,1610612748,25,426,17.0,5.24,4.8,1.08,0.4,0.54,0.801,0.361
2024-25,1610612744,19,334,17.6,6.11,6.53,1.26,0.316,0.438,0.848,0.227
2024-25,0,44,760,17.3,5.61,5.55,1.16,0.364,0.493,0.824,0.287
