season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2012-13,1610612761,62,554,8.94,6.0,0.726,0.274,1.26,0.557,0.789,
2013-14,1610612761,81,916,11.3,8.81,0.704,0.296,0.877,0.531,0.762,0.0
2014-15,1610612761,80,963,12.0,8.66,0.487,0.412,1.19,0.572,0.786,0.0
2015-16,1610612761,60,768,12.8,9.12,0.7,0.417,1.33,0.565,0.761,
2016-17,1610612761,80,959,12.0,9.49,0.713,0.463,0.787,0.557,0.811,0.5
2017-18,1610612761,77,980,12.7,8.57,1.05,0.377,0.896,0.568,0.806,0.405
2018-19,1610612761,30,384,12.8,7.2,0.967,0.433,0.767,0.575,0.819,0.3
2018-19,1610612763,19,379,19.9,10.7,2.16,0.316,1.58,0.545,0.769,0.278
2018-19,0,49,763,15.6,8.55,1.43,0.388,1.08,0.559,0.795,0.292
2019-20,1610612763,70,1044,14.9,11.3,1.87,0.429,1.09,0.585,0.74,0.352
2020-21,1610612763,62,1058,17.1,12.5,1.81,0.565,0.919,0.592,0.773,0.368
2021-22,1610612740,74,1314,17.8,11.4,2.57,0.554,0.811,0.544,0.82,0.361
2022-23,1610612740,79,1115,14.1,10.2,1.77,0.253,0.658,0.547,0.826,0.349
2023-24,1610612740,82,1002,12.2,8.79,2.11,0.39,0.829,0.559,0.785,0.308
2024-25,1610612764,49,564,11.5,8.24,2.2,0.449,0.571,0.547,0.896,0.259
2024-25,1610612758,20,198,9.9,8.15,2.15,0.6,0.85,0.543,0.805,0.125
2024-25,0,69,762,11.0,8.22,2.19,0.493,0.652,0.546,0.871,0.229
