season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2014-15,1610612747,59,703,11.9,3.24,3.49,0.864,0.203,0.448,0.829,0.314
2015-16,1610612747,79,1225,15.5,3.96,2.43,1.11,0.0886,0.433,0.804,0.347
2016-17,1610612747,82,1205,14.7,3.0,2.6,1.07,0.0976,0.445,0.798,0.329
2017-18,1610612747,53,771,14.5,3.0,3.26,0.736,0.0566,0.448,0.795,0.324
2017-18,1610612739,28,353,12.6,2.07,1.71,0.679,0.107,0.456,0.81,0.407
2017-18,0,81,1124,13.9,2.68,2.73,0.716,0.0741,0.451,0.8,0.352
2018-19,1610612739,81,1364,16.8,3.33,2.42,0.704,0.16,0.448,0.844,0.324
2019-20,1610612739,29,423,14.6,2.38,2.41,0.586,0.276,0.442,0.884,0.371
2019-20,1610612762,42,655,15.6,2.81,1.57,0.69,0.19,0.462,0.785,0.366
2019-20,0,71,1078,15.2,2.63,1.92,0.648,0.225,0.454,0.836,0.368
2020-21,1610612762,68,1251,18.4,4.03,2.47,0.897,0.147,0.425,0.896,0.347
2021-22,1610612762,79,1266,16.0,3.46,2.46,0.835,0.203,0.419,0.828,0.318
2022-23,1610612762,61,1271,20.8,4.03,4.43,0.541,0.213,0.444,0.816,0.338
2023-24,1610612762,55,942,17.1,3.42,5.04,0.636,0.109,0.413,0.881,0.294
2024-25,1610612762,37,600,16.2,3.19,3.73,0.838,0.243,0.408,0.797,0.362
