season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2009-10,1610612755,73,587,8.04,2.62,3.84,1.08,0.247,0.442,0.756,0.39
2010-11,1610612755,82,1145,14.0,4.05,6.48,1.46,0.354,0.446,0.823,0.365
2011-12,1610612755,65,879,13.5,3.26,4.46,1.58,0.277,0.432,0.783,0.38
2012-13,1610612755,78,1383,17.7,4.22,8.01,1.58,0.41,0.431,0.752,0.368
2013-14,1610612740,34,487,14.3,4.18,7.88,1.65,0.353,0.447,0.81,0.39
2014-15,1610612740,40,592,14.8,3.38,6.85,1.57,0.575,0.446,0.855,0.378
2015-16,1610612740,65,1089,16.8,3.0,6.02,1.35,0.338,0.439,0.843,0.336
2016-17,1610612740,67,1029,15.4,3.94,7.28,1.49,0.657,0.454,0.708,0.356
2017-18,1610612740,81,1537,19.0,4.51,6.0,1.52,0.79,0.494,0.786,0.337
2018-19,1610612740,67,1420,21.2,4.99,7.73,1.63,0.806,0.472,0.768,0.325
2019-20,1610612740,61,1167,19.1,4.8,6.69,1.62,0.787,0.455,0.709,0.353
2020-21,1610612749,59,1046,17.7,4.54,6.05,1.63,0.627,0.503,0.787,0.392
2021-22,1610612749,67,1225,18.3,4.49,6.82,1.61,0.433,0.501,0.761,0.411
2022-23,1610612749,67,1290,19.3,5.09,7.39,1.18,0.373,0.479,0.859,0.384
2023-24,1610612738,69,860,12.5,5.41,4.83,0.884,0.768,0.48,0.833,0.429
2024-25,1610612738,54,591,10.9,4.28,3.81,1.11,0.481,0.443,0.906,0.336
