season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2014-15,1610612747,1,2,2.0,0.0,0.0,0.0,0.0,0.333,0.0,
2015-16,1610612747,81,919,11.3,10.2,1.78,0.654,0.358,0.429,0.715,0.278
2016-17,1610612747,74,975,13.2,8.59,3.57,0.662,0.5,0.488,0.723,0.27
2017-18,1610612747,82,1323,16.1,7.98,2.56,0.524,0.549,0.558,0.718,0.222
2018-19,1610612740,73,1565,21.4,8.68,3.14,0.712,0.616,0.524,0.731,0.344
2019-20,1610612752,64,1248,19.5,9.72,3.09,0.797,0.344,0.46,0.733,0.277
2020-21,1610612752,71,1712,24.1,10.2,6.01,0.901,0.254,0.456,0.811,0.411
2021-22,1610612752,72,1447,20.1,9.94,5.14,0.736,0.542,0.411,0.756,0.308
2022-23,1610612752,77,1936,25.1,9.96,4.1,0.636,0.273,0.459,0.757,0.343
2023-24,1610612752,46,1102,24.0,9.2,4.98,0.543,0.261,0.472,0.781,0.311
2024-25,1610612750,59,1105,18.7,7.02,4.64,0.695,0.22,0.479,0.808,0.33
