season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2014-15,1610612743,62,426,6.87,6.16,0.806,0.839,1.1,0.446,0.636,0.0
2015-16,1610612743,32,263,8.22,5.47,1.25,0.75,1.38,0.417,0.616,0.0
2016-17,1610612743,45,358,7.96,5.78,1.33,0.556,0.8,0.507,0.496,
2016-17,1610612757,20,304,15.2,10.3,3.15,1.25,1.9,0.508,0.66,0.0
2016-17,0,65,662,10.2,7.18,1.89,0.769,1.14,0.507,0.571,0.0
2017-18,1610612757,79,1132,14.3,8.96,1.81,0.81,1.41,0.505,0.63,0.0
2018-19,1610612757,72,1125,15.6,10.4,3.24,0.986,1.43,0.508,0.773,0.103
2019-20,1610612757,8,141,17.6,10.2,4.0,1.38,2.0,0.495,0.886,0.2
2020-21,1610612757,37,424,11.5,8.97,3.38,1.03,1.05,0.514,0.619,0.4
2021-22,1610612757,56,842,15.0,11.1,2.8,1.11,0.607,0.535,0.69,0.268
2022-23,1610612757,52,694,13.3,9.06,2.87,0.827,0.846,0.519,0.661,0.361
2023-24,1610612756,76,829,10.9,11.0,3.96,1.07,1.05,0.51,0.64,0.244
2024-25,1610612756,25,215,8.6,9.16,1.88,0.92,0.64,0.454,0.696,0.322
2024-25,1610612766,16,117,7.31,6.5,2.38,0.75,0.625,0.495,0.656,0.231
2024-25,0,41,332,8.1,8.12,2.07,0.854,0.634,0.469,0.683,0.294
