season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2015-16,1610612750,82,1503,18.3,10.5,1.96,0.707,1.68,0.542,0.811,0.341
2016-17,1610612750,82,2061,25.1,12.3,2.68,0.683,1.26,0.542,0.832,0.367
2017-18,1610612750,82,1743,21.3,12.3,2.43,0.78,1.4,0.545,0.858,0.421
2018-19,1610612750,77,1880,24.4,12.4,3.36,0.87,1.62,0.518,0.836,0.4
2019-20,1610612750,35,926,26.5,10.8,4.37,0.943,1.2,0.508,0.796,0.412
2020-21,1610612750,50,1239,24.8,10.6,4.5,0.78,1.14,0.486,0.859,0.387
2021-22,1610612750,74,1818,24.6,9.82,3.64,0.973,1.12,0.529,0.822,0.41
2022-23,1610612750,29,602,20.8,8.14,4.83,0.69,0.586,0.495,0.874,0.366
2023-24,1610612750,62,1349,21.8,8.31,3.05,0.694,0.661,0.504,0.873,0.416
2024-25,1610612752,63,1542,24.5,12.9,3.05,0.984,0.73,0.525,0.834,0.425
