season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2011-12,1610612759,64,507,7.92,5.11,1.09,1.33,0.375,0.493,0.773,0.376
2012-13,1610612759,58,689,11.9,5.97,1.6,1.67,0.552,0.494,0.825,0.374
2013-14,1610612759,66,844,12.8,6.24,2.02,1.73,0.758,0.522,0.802,0.379
2014-15,1610612759,64,1057,16.5,7.2,2.52,2.31,0.75,0.479,0.802,0.349
2015-16,1610612759,72,1523,21.2,6.85,2.58,1.78,0.986,0.506,0.874,0.443
2016-17,1610612759,74,1888,25.5,5.81,3.51,1.8,0.743,0.485,0.88,0.38
2017-18,1610612759,9,146,16.2,4.67,2.33,2.0,1.0,0.468,0.816,0.314
2018-19,1610612761,60,1596,26.6,7.32,3.32,1.77,0.4,0.496,0.854,0.371
2019-20,1610612746,57,1543,27.1,7.05,4.91,1.81,0.579,0.47,0.886,0.378
2020-21,1610612746,52,1292,24.8,6.48,5.17,1.56,0.404,0.512,0.885,0.398
2022-23,1610612746,52,1239,23.8,6.5,3.92,1.38,0.538,0.512,0.871,0.416
2023-24,1610612746,68,1613,23.7,6.12,3.59,1.63,0.868,0.525,0.885,0.417
2024-25,1610612746,28,557,19.9,5.61,2.96,1.46,0.464,0.485,0.771,0.393
