season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2013-14,1610612738,70,607,8.67,5.21,1.56,0.5,0.386,0.466,0.811,0.351
2014-15,1610612738,64,656,10.2,4.73,1.7,1.0,0.609,0.475,0.684,0.349
2015-16,1610612738,69,687,9.96,4.07,1.52,0.754,0.478,0.455,0.75,0.405
2016-17,1610612738,75,678,9.04,4.81,1.97,0.587,0.387,0.512,0.732,0.354
2017-18,1610612748,76,872,11.5,5.67,2.72,0.816,0.461,0.497,0.77,0.379
2018-19,1610612748,79,787,9.96,4.75,1.77,0.671,0.468,0.463,0.822,0.354
2019-20,1610612748,67,549,8.19,4.55,1.73,0.672,0.343,0.462,0.86,0.406
2020-21,1610612748,43,432,10.0,6.07,2.12,0.93,0.605,0.431,0.775,0.317
2020-21,1610612745,27,513,19.0,8.44,4.15,1.44,0.593,0.545,0.844,0.392
2020-21,0,70,945,13.5,6.99,2.9,1.13,0.6,0.484,0.829,0.342
2021-22,1610612765,40,365,9.12,4.42,2.77,0.775,0.475,0.448,0.775,0.336
2022-23,1610612762,68,847,12.5,6.18,3.71,0.882,0.544,0.499,0.853,0.394
2023-24,1610612762,50,406,8.12,5.08,4.38,0.74,0.24,0.562,0.842,0.429
2023-24,1610612761,28,356,12.7,5.61,4.57,1.32,0.643,0.548,0.824,0.338
2023-24,0,78,762,9.77,5.27,4.45,0.949,0.385,0.555,0.833,0.387
2024-25,1610612761,24,171,7.12,3.71,2.33,0.667,0.333,0.5,0.791,0.442
2024-25,1610612740,14,148,10.6,6.14,3.79,0.643,0.643,0.528,0.735,0.393
2024-25,0,38,319,8.39,4.61,2.87,0.658,0.447,0.513,0.766,0.423
