season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2015-16,1610612764,63,236,3.75,2.11,0.206,0.349,0.111,0.427,0.633,0.316
2016-17,1610612764,79,501,6.34,3.3,0.595,0.734,0.215,0.421,0.758,0.287
2017-18,1610612764,81,953,11.8,4.48,1.21,0.988,0.432,0.403,0.82,0.341
2018-19,1610612764,29,373,12.9,4.45,0.69,0.931,0.69,0.433,0.8,0.311
2018-19,1610612756,40,674,16.9,4.9,1.6,1.43,0.975,0.453,0.761,0.325
2018-19,0,69,1047,15.2,4.71,1.22,1.22,0.855,0.445,0.775,0.32
2019-20,1610612756,56,1046,18.7,6.45,1.52,1.27,0.714,0.452,0.78,0.352
2020-21,1610612744,55,849,15.4,5.98,1.33,1.04,0.764,0.439,0.695,0.316
2021-22,1610612766,76,1137,15.0,3.97,1.11,1.01,0.408,0.44,0.667,0.345
2022-23,1610612766,48,972,20.2,5.19,1.12,1.42,0.375,0.431,0.76,0.319
2023-24,1610612755,68,1049,15.4,5.01,1.49,1.13,0.691,0.441,0.75,0.311
2024-25,1610612755,60,906,15.1,6.13,1.8,1.53,0.5,0.47,0.751,0.293
