season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2013-14,1610612765,80,470,5.88,1.95,0.688,0.938,0.15,0.396,0.77,0.319
2014-15,1610612765,82,1043,12.7,3.11,1.33,1.13,0.22,0.401,0.696,0.345
2015-16,1610612765,76,1105,14.5,3.71,1.82,1.45,0.224,0.42,0.811,0.309
2016-17,1610612765,76,1047,13.8,3.26,2.54,1.17,0.158,0.399,0.832,0.35
2017-18,1610612747,74,992,13.4,5.23,2.19,1.43,0.216,0.426,0.789,0.383
2018-19,1610612747,82,938,11.4,2.9,1.34,0.89,0.159,0.43,0.867,0.347
2019-20,1610612747,69,645,9.35,2.06,1.61,0.826,0.203,0.467,0.775,0.385
2020-21,1610612747,67,653,9.75,2.67,1.9,0.925,0.388,0.431,0.866,0.41
2021-22,1610612764,77,1018,13.2,3.39,1.88,1.08,0.338,0.435,0.89,0.39
2022-23,1610612743,76,822,10.8,2.74,2.41,1.47,0.461,0.462,0.824,0.423
2023-24,1610612743,76,766,10.1,2.41,2.41,1.29,0.553,0.46,0.894,0.406
2024-25,1610612753,67,589,8.79,2.15,1.78,1.28,0.463,0.429,0.859,0.322
