season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2007-08,1610612760,80,1624,20.3,4.35,2.4,0.975,0.938,0.43,0.873,0.288
2008-09,1610612760,74,1871,25.3,6.51,2.77,1.3,0.716,0.476,0.863,0.422
2009-10,1610612760,82,2472,30.1,7.6,2.82,1.37,1.02,0.476,0.9,0.365
2010-11,1610612760,78,2161,27.7,6.83,2.74,1.13,0.974,0.462,0.88,0.35
2011-12,1610612760,66,1850,28.0,7.98,3.5,1.33,1.17,0.496,0.86,0.387
2012-13,1610612760,81,2280,28.1,7.9,4.62,1.43,1.3,0.51,0.905,0.416
2013-14,1610612760,81,2593,32.0,7.38,5.49,1.27,0.728,0.503,0.873,0.391
2014-15,1610612760,27,686,25.4,6.59,4.07,0.889,0.926,0.51,0.854,0.403
2015-16,1610612760,72,2029,28.2,8.18,5.01,0.958,1.18,0.505,0.898,0.387
2016-17,1610612744,62,1555,25.1,8.27,4.84,1.06,1.6,0.537,0.875,0.375
2017-18,1610612744,68,1792,26.4,6.82,5.38,0.735,1.75,0.516,0.889,0.419
2018-19,1610612744,78,2027,26.0,6.37,5.86,0.744,1.08,0.521,0.885,0.353
2020-21,1610612751,35,943,26.9,7.06,5.57,0.714,1.29,0.537,0.882,0.45
2021-22,1610612751,55,1643,29.9,7.4,6.38,0.873,0.945,0.518,0.91,0.383
2022-23,1610612751,39,1158,29.7,6.72,5.31,0.821,1.46,0.559,0.934,0.376
2022-23,1610612756,8,208,26.0,6.38,3.5,0.25,1.25,0.57,0.833,0.537
2022-23,0,47,1366,29.1,6.66,5.0,0.723,1.43,0.56,0.919,0.404
2023-24,1610612756,75,2032,27.1,6.6,5.04,0.92,1.21,0.523,0.856,0.413
2024-25,1610612756,58,1545,26.6,6.07,4.36,0.81,1.24,0.528,0.832,0.417
