season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2008-09,1610612750,81,899,11.1,9.06,1.04,0.432,0.617,0.459,0.789,0.105
2009-10,1610612750,60,842,14.0,11.0,2.27,0.717,0.383,0.45,0.815,0.33
2010-11,1610612750,73,1476,20.2,15.2,2.52,0.616,0.384,0.47,0.85,0.417
2011-12,1610612750,55,1432,26.0,13.3,2.02,0.855,0.509,0.448,0.824,0.372
2012-13,1610612750,18,330,18.3,14.0,2.33,0.722,0.5,0.352,0.704,0.217
2013-14,1610612750,77,2010,26.1,12.5,4.43,0.766,0.455,0.457,0.821,0.376
2014-15,1610612739,75,1228,16.4,9.75,2.24,0.68,0.52,0.434,0.804,0.367
2015-16,1610612739,77,1234,16.0,9.9,2.4,0.753,0.532,0.419,0.822,0.36
2016-17,1610612739,60,1142,19.0,11.1,1.93,0.883,0.35,0.427,0.871,0.373
2017-18,1610612739,59,1039,17.6,9.25,1.75,0.729,0.407,0.458,0.88,0.415
2018-19,1610612739,22,374,17.0,10.9,2.18,0.273,0.227,0.385,0.904,0.361
2019-20,1610612739,56,987,17.6,9.77,3.18,0.589,0.339,0.45,0.854,0.374
2020-21,1610612739,25,305,12.2,7.44,2.52,0.64,0.08,0.409,0.824,0.365
2021-22,1610612739,74,1007,13.6,7.24,2.16,0.351,0.243,0.43,0.838,0.392
2022-23,1610612739,41,347,8.46,6.83,1.85,0.171,0.171,0.389,0.889,0.354
2022-23,1610612748,21,162,7.71,5.67,1.9,0.429,0.238,0.388,0.857,0.297
2022-23,0,62,509,8.21,6.44,1.87,0.258,0.194,0.389,0.879,0.334
2023-24,1610612748,55,485,8.82,6.15,2.09,0.327,0.182,0.44,0.787,0.344
2024-25,1610612748,23,122,5.3,4.09,0.957,0.652,0.174,0.357,0.696,0.358
