season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2012-13,1610612765,27,165,6.11,1.85,1.04,0.556,0.148,0.44,0.844,0.311
2013-14,1610612749,82,990,12.1,3.78,2.06,1.01,0.244,0.44,0.861,0.414
2014-15,1610612749,79,1055,13.4,4.39,2.3,1.54,0.139,0.467,0.859,0.407
2015-16,1610612749,79,1434,18.2,3.82,4.19,1.66,0.241,0.444,0.888,0.396
2016-17,1610612749,29,426,14.7,4.24,3.41,1.41,0.241,0.45,0.88,0.433
2017-18,1610612749,82,1652,20.1,5.23,4.0,1.45,0.256,0.466,0.884,0.359
2018-19,1610612749,77,1407,18.3,5.99,4.3,1.04,0.0909,0.441,0.837,0.378
2019-20,1610612749,62,1297,20.9,6.16,4.27,0.855,0.113,0.497,0.916,0.415
2020-21,1610612749,68,1385,20.4,5.97,5.44,1.09,0.132,0.476,0.898,0.414
2021-22,1610612749,66,1325,20.1,5.39,5.42,1.15,0.273,0.443,0.89,0.373
2022-23,1610612749,33,497,15.1,4.24,4.94,0.697,0.152,0.436,0.902,0.315
2023-24,1610612749,55,828,15.1,4.67,5.31,0.927,0.273,0.493,0.833,0.381
2024-25,1610612749,23,290,12.6,3.7,4.43,0.739,0.217,0.512,0.848,0.407
2024-25,1610612764,12,133,11.1,4.08,3.42,1.33,0.25,0.42,0.871,0.286
2024-25,0,35,423,12.1,3.83,4.09,0.943,0.229,0.48,0.857,0.367
