season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2011-12,1610612744,66,826,12.5,2.44,2.02,0.742,0.303,0.443,0.868,0.414
2012-13,1610612744,82,1359,16.6,3.73,2.23,1.05,0.549,0.422,0.841,0.401
2013-14,1610612744,81,1488,18.4,3.07,2.23,0.914,0.457,0.444,0.795,0.417
2014-15,1610612744,77,1668,21.7,3.21,2.88,1.13,0.779,0.463,0.879,0.439
2015-16,1610612744,80,1771,22.1,3.83,2.08,0.75,0.613,0.47,0.873,0.425
2016-17,1610612744,78,1742,22.3,3.65,2.05,0.846,0.513,0.468,0.853,0.414
2017-18,1610612744,73,1461,20.0,3.79,2.53,0.753,0.466,0.489,0.837,0.44
2018-19,1610612744,78,1680,21.5,3.83,2.38,1.08,0.603,0.467,0.816,0.402
2021-22,1610612744,32,652,20.4,3.91,2.75,0.5,0.531,0.429,0.902,0.385
2022-23,1610612744,69,1509,21.9,4.14,2.36,0.71,0.42,0.436,0.879,0.412
2023-24,1610612744,77,1375,17.9,3.3,2.29,0.649,0.455,0.432,0.927,0.387
2024-25,1610612742,62,900,14.5,3.61,2.13,0.742,0.452,0.415,0.899,0.395
