season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2015-16,1610612752,72,1028,14.3,7.31,1.31,0.736,1.86,0.421,0.838,0.333
2016-17,1610612752,66,1196,18.1,7.2,1.47,0.712,1.95,0.45,0.786,0.357
2017-18,1610612752,48,1088,22.7,6.58,1.19,0.75,2.4,0.439,0.793,0.395
2019-20,1610612742,57,1164,20.4,9.47,1.79,0.719,2.02,0.427,0.799,0.352
2020-21,1610612742,43,865,20.1,8.86,1.58,0.465,1.35,0.476,0.855,0.376
2021-22,1610612742,34,654,19.2,7.68,2.03,0.735,1.74,0.451,0.865,0.283
2021-22,1610612764,17,376,22.1,8.82,2.94,0.706,1.47,0.475,0.871,0.367
2021-22,0,51,1030,20.2,8.06,2.33,0.725,1.65,0.459,0.867,0.31
2022-23,1610612764,65,1505,23.2,8.4,2.68,0.892,1.54,0.498,0.851,0.385
2023-24,1610612738,57,1145,20.1,7.18,2.02,0.737,1.95,0.516,0.858,0.375
2024-25,1610612738,35,682,19.5,6.91,2.03,0.829,1.57,0.486,0.817,0.396
