season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2017-18,1610612747,77,1242,16.1,6.27,1.83,0.636,0.442,0.45,0.707,0.366
2018-19,1610612747,70,1308,18.7,5.46,2.54,0.586,0.371,0.456,0.752,0.303
2019-20,1610612747,61,782,12.8,4.48,1.31,0.459,0.426,0.436,0.735,0.316
2020-21,1610612747,68,874,12.9,6.13,1.87,0.515,0.603,0.443,0.691,0.361
2021-22,1610612764,66,1130,17.1,8.5,3.53,0.636,0.864,0.452,0.712,0.341
2022-23,1610612764,64,1357,21.2,7.23,3.73,0.562,0.453,0.448,0.73,0.333
2023-24,1610612764,70,1553,22.2,6.63,4.23,0.529,0.7,0.463,0.775,0.336
2024-25,1610612764,32,486,15.2,5.78,2.47,0.625,0.219,0.42,0.602,0.281
2024-25,1610612749,21,295,14.0,6.71,2.05,0.429,0.19,0.437,0.671,0.295
2024-25,0,53,781,14.7,6.15,2.3,0.547,0.208,0.426,0.631,0.286
