season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2006-07,1610612763,10,56,5.6,3.1,3.2,1.4,0.1,0.368,0.893,0.375
2007-08,1610612763,82,791,9.65,3.05,3.61,1.12,0.268,0.432,0.698,0.257
2008-09,1610612763,49,370,7.55,2.27,3.63,0.98,0.163,0.412,0.801,0.246
2008-09,1610612745,28,214,7.64,2.79,3.46,0.75,0.321,0.475,0.8,0.276
2008-09,0,77,584,7.58,2.45,3.57,0.896,0.221,0.435,0.801,0.255
2009-10,1610612745,68,620,9.12,3.63,4.49,0.882,0.132,0.397,0.827,0.272
2010-11,1610612745,75,1011,13.5,4.12,6.67,1.36,0.307,0.426,0.765,0.376
2011-12,1610612745,47,670,14.3,4.53,6.6,1.55,0.298,0.409,0.864,0.374
2012-13,1610612761,68,791,11.6,4.72,6.4,1.38,0.353,0.401,0.795,0.362
2013-14,1610612761,79,1417,17.9,4.67,7.42,1.53,0.19,0.423,0.813,0.38
2014-15,1610612761,70,1244,17.8,4.69,6.76,1.56,0.186,0.412,0.808,0.338
2015-16,1610612761,77,1634,21.2,4.74,6.42,2.05,0.442,0.427,0.811,0.388
2016-17,1610612761,60,1344,22.4,4.77,6.95,1.47,0.317,0.464,0.819,0.412
2017-18,1610612761,78,1267,16.2,5.56,6.88,1.09,0.244,0.427,0.854,0.399
2018-19,1610612761,65,926,14.2,4.8,8.68,1.4,0.477,0.411,0.83,0.347
2019-20,1610612761,58,1126,19.4,5.03,7.47,1.41,0.448,0.416,0.857,0.352
2020-21,1610612761,46,791,17.2,5.37,7.35,0.978,0.304,0.436,0.875,0.396
2021-22,1610612748,63,844,13.4,4.48,7.52,1.06,0.27,0.44,0.851,0.377
2022-23,1610612748,55,615,11.2,4.09,5.11,1.04,0.382,0.404,0.859,0.345
2023-24,1610612748,37,303,8.19,3.49,3.97,1.05,0.405,0.426,0.833,0.385
2023-24,1610612755,23,184,8.0,2.83,4.61,0.87,0.261,0.444,0.848,0.404
2023-24,0,60,487,8.12,3.23,4.22,0.983,0.35,0.432,0.84,0.392
2024-25,1610612755,33,133,4.03,1.97,2.82,0.939,0.303,0.351,0.818,0.337
