season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2011-12,1610612739,51,944,18.5,3.75,5.39,1.06,0.392,0.469,0.872,0.399
2012-13,1610612739,59,1325,22.5,3.66,5.93,1.51,0.356,0.452,0.855,0.391
2013-14,1610612739,71,1478,20.8,3.65,6.1,1.52,0.324,0.43,0.861,0.358
2014-15,1610612739,75,1628,21.7,3.16,5.19,1.52,0.267,0.468,0.863,0.415
2015-16,1610612739,53,1041,19.6,2.96,4.72,1.06,0.34,0.448,0.885,0.321
2016-17,1610612739,72,1816,25.2,3.19,5.81,1.15,0.333,0.473,0.905,0.401
2017-18,1610612738,60,1466,24.4,3.78,5.1,1.08,0.283,0.491,0.889,0.408
2018-19,1610612738,67,1596,23.8,5.0,6.93,1.54,0.507,0.487,0.873,0.401
2019-20,1610612751,20,548,27.4,5.15,6.4,1.35,0.5,0.478,0.922,0.394
2020-21,1610612751,54,1451,26.9,4.76,6.0,1.41,0.685,0.506,0.922,0.402
2021-22,1610612751,29,796,27.4,4.38,5.76,1.41,0.586,0.469,0.915,0.418
2022-23,1610612751,40,1084,27.1,5.1,5.28,1.02,0.825,0.486,0.883,0.374
2022-23,1610612742,20,539,26.9,5.0,6.0,1.25,0.6,0.51,0.947,0.392
2022-23,0,60,1623,27.1,5.07,5.52,1.1,0.75,0.494,0.905,0.379
2023-24,1610612742,58,1487,25.6,5.0,5.16,1.28,0.483,0.497,0.905,0.411
2024-25,1610612742,50,1234,24.7,4.8,4.62,1.32,0.46,0.473,0.916,0.401
