season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2003-04,1610612739,79,1654,20.9,5.47,5.89,1.65,0.734,0.417,0.754,0.29
2004-05,1610612739,80,2175,27.2,7.35,7.21,2.21,0.65,0.472,0.75,0.351
2005-06,1610612739,79,2478,31.4,7.04,6.59,1.56,0.835,0.48,0.738,0.335
2006-07,1610612739,78,2132,27.3,6.74,6.03,1.6,0.705,0.476,0.698,0.319
2007-08,1610612739,75,2250,30.0,7.89,7.19,1.84,1.08,0.484,0.712,0.315
2008-09,1610612739,81,2304,28.4,7.57,7.25,1.69,1.15,0.489,0.78,0.344
2009-10,1610612739,76,2258,29.7,7.29,8.57,1.64,1.01,0.503,0.767,0.333
2010-11,1610612748,79,2111,26.7,7.47,7.01,1.57,0.633,0.51,0.759,0.33
2011-12,1610612748,62,1683,27.1,7.94,6.24,1.85,0.806,0.531,0.771,0.362
2012-13,1610612748,76,2036,26.8,8.03,7.25,1.7,0.882,0.565,0.753,0.406
2013-14,1610612748,77,2089,27.1,6.92,6.34,1.57,0.338,0.567,0.75,0.379
2014-15,1610612739,69,1743,25.3,6.03,7.41,1.58,0.71,0.488,0.71,0.354
2015-16,1610612739,76,1920,25.3,7.43,6.76,1.37,0.645,0.52,0.731,0.309
2016-17,1610612739,74,1954,26.4,8.64,8.73,1.24,0.595,0.548,0.674,0.363
2017-18,1610612739,82,2251,27.5,8.65,9.11,1.41,0.866,0.542,0.731,0.367
2018-19,1610612747,55,1505,27.4,8.45,8.25,1.31,0.6,0.51,0.665,0.339
2019-20,1610612747,67,1698,25.3,7.84,10.2,1.16,0.537,0.493,0.693,0.348
2020-21,1610612747,45,1126,25.0,7.69,7.78,1.07,0.556,0.513,0.698,0.365
2021-22,1610612747,56,1695,30.3,8.2,6.23,1.3,1.05,0.524,0.756,0.359
2022-23,1610612747,55,1590,28.9,8.31,6.82,0.909,0.582,0.5,0.768,0.321
2023-24,1610612747,71,1822,25.7,7.3,8.3,1.25,0.535,0.54,0.75,0.41
2024-25,1610612747,59,1467,24.9,8.17,8.46,0.932,0.593,0.516,0.764,0.384
