season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2013-14,1610612751,70,520,7.43,4.4,0.857,0.7,0.786,0.659,0.626,0.0
2014-15,1610612751,82,717,8.74,6.24,0.902,0.793,0.768,0.573,0.495,0.0
2015-16,1610612757,82,749,9.13,7.66,2.76,0.829,1.04,0.516,0.642,0.0
2016-17,1610612757,54,597,11.1,8.0,3.96,0.926,1.17,0.532,0.567,0.0
2016-17,1610612743,27,245,9.07,6.41,2.59,0.704,1.07,0.547,0.618,0.0
2016-17,0,81,842,10.4,7.47,3.51,0.852,1.14,0.536,0.58,0.0
2017-18,1610612743,74,524,7.08,5.41,1.92,0.662,1.09,0.601,0.458,0.0
2018-19,1610612743,82,637,7.77,6.39,2.96,0.805,0.927,0.593,0.561,0.2
2019-20,1610612743,61,437,7.16,5.2,2.52,0.541,0.623,0.615,0.535,0.0
2020-21,1610612765,56,581,10.4,9.27,3.61,0.768,0.893,0.614,0.669,0.0
2021-22,1610612766,73,477,6.53,7.74,3.1,0.836,0.712,0.641,0.392,0.0
2022-23,1610612766,56,685,12.2,9.66,3.66,0.625,0.625,0.669,0.605,
2022-23,1610612746,23,172,7.48,6.91,1.74,0.478,0.522,0.727,0.772,
2022-23,0,79,857,10.8,8.86,3.1,0.582,0.595,0.68,0.636,
2023-24,1610612746,46,244,5.3,5.09,1.2,0.304,0.37,0.569,0.707,0.0
2024-25,1610612756,68,305,4.49,6.25,1.78,0.441,0.632,0.614,0.646,0.0
