season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2007-08,1610612763,53,498,9.4,2.62,4.19,0.83,0.0377,0.428,0.732,0.33
2008-09,1610612763,82,895,10.9,3.37,4.32,1.1,0.0976,0.442,0.817,0.406
2009-10,1610612763,80,959,12.0,2.39,5.31,1.36,0.15,0.445,0.743,0.387
2010-11,1610612763,81,1107,13.7,3.05,6.52,1.78,0.222,0.444,0.733,0.369
2011-12,1610612763,62,788,12.7,2.52,6.52,2.19,0.177,0.433,0.861,0.377
2012-13,1610612763,80,1168,14.6,2.81,6.09,2.17,0.3,0.44,0.83,0.362
2013-14,1610612763,73,1256,17.2,2.92,6.04,1.51,0.178,0.45,0.815,0.361
2014-15,1610612763,70,1107,15.8,2.99,5.36,1.27,0.2,0.446,0.859,0.386
2015-16,1610612763,56,857,15.3,2.93,6.11,1.2,0.286,0.422,0.834,0.363
2016-17,1610612763,69,1415,20.5,3.49,6.28,1.33,0.275,0.46,0.859,0.408
2017-18,1610612763,12,205,17.1,2.25,4.08,1.0,0.25,0.381,0.803,0.312
2018-19,1610612763,70,1478,21.1,3.41,6.41,1.34,0.314,0.438,0.845,0.364
2019-20,1610612762,47,675,14.4,3.21,4.43,0.766,0.106,0.409,0.827,0.375
2020-21,1610612762,51,827,16.2,3.47,5.98,1.37,0.176,0.444,0.852,0.412
2021-22,1610612762,72,986,13.7,3.01,5.35,1.33,0.292,0.435,0.796,0.408
2022-23,1610612762,43,461,10.7,2.49,7.67,1.02,0.233,0.408,0.812,0.362
2022-23,1610612750,24,337,14.0,3.12,5.0,1.21,0.167,0.46,0.863,0.42
2022-23,0,67,798,11.9,2.72,6.72,1.09,0.209,0.428,0.834,0.385
2023-24,1610612750,76,869,11.4,2.87,5.91,1.16,0.224,0.457,0.911,0.442
2024-25,1610612750,61,507,8.31,2.54,4.46,1.18,0.18,0.401,0.911,0.417
