season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2015-16,1610612754,60,619,10.3,5.53,0.683,0.417,1.43,0.498,0.727,0.214
2016-17,1610612754,81,1173,14.5,7.27,1.31,0.914,2.12,0.511,0.809,0.348
2017-18,1610612754,65,828,12.7,6.42,1.34,0.585,1.82,0.479,0.777,0.357
2018-19,1610612754,74,984,13.3,7.18,1.55,0.811,2.69,0.487,0.736,0.388
2019-20,1610612754,62,749,12.1,6.56,1.16,0.742,2.13,0.457,0.751,0.344
2020-21,1610612754,47,592,12.6,6.51,1.02,0.851,3.38,0.477,0.782,0.335
2021-22,1610612754,42,540,12.9,7.07,1.05,0.667,2.81,0.509,0.752,0.333
2022-23,1610612754,62,1113,18.0,7.52,1.44,0.581,2.26,0.548,0.783,0.373
2023-24,1610612754,77,1313,17.1,6.92,1.3,0.506,1.87,0.524,0.773,0.358
2024-25,1610612754,62,968,15.6,6.5,1.6,0.823,1.9,0.479,0.782,0.394
