season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2008-09,1610612757,79,426,5.39,2.78,0.937,0.633,0.506,0.446,0.808,0.369
2009-10,1610612757,37,375,10.1,3.81,1.19,0.649,0.676,0.519,0.843,0.409
2010-11,1610612757,80,990,12.4,4.51,1.54,0.85,0.613,0.455,0.841,0.345
2011-12,1610612757,59,818,13.9,4.59,1.42,0.966,1.02,0.451,0.836,0.391
2012-13,1610612757,73,1047,14.3,5.64,4.93,1.25,1.14,0.423,0.848,0.372
2013-14,1610612757,82,1070,13.0,7.45,5.12,0.915,0.695,0.465,0.803,0.361
2014-15,1610612757,71,664,9.35,5.86,4.8,1.1,0.563,0.4,0.857,0.324
2015-16,1610612766,70,1046,14.9,6.11,5.76,0.929,0.614,0.426,0.849,0.348
2016-17,1610612766,77,1164,15.1,6.25,5.92,1.12,0.377,0.403,0.856,0.333
2017-18,1610612766,64,740,11.6,4.78,5.45,1.02,0.359,0.415,0.831,0.336
2018-19,1610612766,75,699,9.32,5.2,3.29,0.947,0.573,0.45,0.865,0.389
2019-20,1610612766,22,79,3.59,4.55,3.0,0.773,0.364,0.346,0.9,0.286
2020-21,1610612746,67,540,8.06,4.72,2.21,1.03,0.552,0.464,0.828,0.404
2021-22,1610612746,59,491,8.32,4.31,1.69,0.983,0.712,0.463,0.658,0.4
2022-23,1610612746,78,478,6.13,3.83,1.55,0.692,0.564,0.42,0.708,0.391
2023-24,1610612746,3,8,2.67,2.33,1.67,1.0,1.33,0.375,,0.286
2023-24,1610612755,57,312,5.47,4.23,2.16,0.789,0.596,0.456,0.714,0.399
2023-24,0,60,320,5.33,4.13,2.13,0.8,0.633,0.453,0.714,0.395
2024-25,1610612746,69,264,3.83,2.83,1.17,0.681,0.478,0.415,0.833,0.41
