season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2015-16,1610612743,80,796,9.95,7.0,2.36,0.988,0.625,0.512,0.811,0.333
2016-17,1610612743,73,1221,16.7,9.84,4.92,0.836,0.753,0.578,0.825,0.324
2017-18,1610612743,75,1385,18.5,10.7,6.11,1.2,0.813,0.499,0.85,0.396
2018-19,1610612743,80,1604,20.1,10.8,7.25,1.35,0.688,0.511,0.821,0.307
2019-20,1610612743,73,1456,19.9,9.74,7.01,1.16,0.603,0.528,0.817,0.314
2020-21,1610612743,72,1898,26.4,10.8,8.32,1.32,0.667,0.566,0.868,0.388
2021-22,1610612743,74,2004,27.1,13.8,7.89,1.47,0.851,0.583,0.81,0.337
2022-23,1610612743,69,1690,24.5,11.8,9.83,1.26,0.681,0.632,0.822,0.383
2023-24,1610612743,79,2085,26.4,12.4,8.96,1.37,0.861,0.583,0.817,0.359
2024-25,1610612743,62,1806,29.1,12.8,10.3,1.76,0.694,0.575,0.807,0.413
