season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2011-12,1610612755,51,283,5.55,4.82,0.608,0.392,0.667,0.45,0.529,0.375
2012-13,1610612753,77,1008,13.1,11.9,1.86,0.792,1.03,0.519,0.683,0.0
2013-14,1610612753,57,811,14.2,11.0,1.82,1.05,0.825,0.507,0.766,
2014-15,1610612753,74,1428,19.3,10.9,1.99,0.73,0.73,0.523,0.752,0.333
2015-16,1610612753,65,1181,18.2,8.86,2.75,0.815,1.08,0.51,0.753,0.222
2016-17,1610612753,75,1096,14.6,10.4,2.77,1.01,0.987,0.468,0.669,0.307
2017-18,1610612753,57,939,16.5,9.18,3.35,0.982,1.09,0.475,0.819,0.314
2018-19,1610612753,80,1665,20.8,12.0,3.84,1.01,1.11,0.518,0.789,0.364
2019-20,1610612753,62,1215,19.6,10.9,3.58,0.871,0.758,0.477,0.784,0.339
2020-21,1610612753,44,1080,24.5,11.8,3.8,0.955,0.636,0.48,0.827,0.406
2020-21,1610612741,26,559,21.5,11.5,3.92,0.885,0.769,0.471,0.87,0.388
2020-21,0,70,1639,23.4,11.7,3.84,0.929,0.686,0.477,0.84,0.4
2021-22,1610612741,73,1288,17.6,11.0,3.23,0.959,0.973,0.473,0.76,0.314
2022-23,1610612741,82,1447,17.6,11.0,3.23,0.732,0.695,0.52,0.835,0.349
2023-24,1610612741,76,1370,18.0,10.5,3.34,0.658,0.789,0.484,0.822,0.294
2024-25,1610612741,63,1174,18.6,10.1,3.43,0.825,0.667,0.531,0.805,0.404
