season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2015-16,1610612761,49,273,5.57,2.27,0.959,0.592,0.204,0.424,0.811,0.404
2016-17,1610612761,76,636,8.37,2.22,1.08,0.684,0.184,0.449,0.792,0.324
2017-18,1610612761,70,385,5.5,1.7,1.27,0.529,0.229,0.401,0.821,0.285
2018-19,1610612761,60,516,8.6,2.32,1.52,0.65,0.217,0.482,0.827,0.4
2019-20,1610612761,52,830,16.0,3.65,1.75,1.15,0.404,0.495,0.843,0.399
2020-21,1610612761,42,823,19.6,3.0,1.83,1.12,0.19,0.498,0.865,0.439
2020-21,1610612757,27,460,17.0,3.3,1.93,1.3,0.37,0.443,0.88,0.361
2020-21,0,69,1283,18.6,3.12,1.87,1.19,0.261,0.477,0.871,0.411
2021-22,1610612757,40,746,18.6,3.27,2.05,1.0,0.425,0.456,0.803,0.406
2021-22,1610612746,5,107,21.4,2.8,2.8,0.4,0.8,0.508,0.857,0.542
2021-22,0,45,853,19.0,3.22,2.13,0.933,0.467,0.461,0.811,0.419
2022-23,1610612746,60,1019,17.0,2.92,1.82,0.833,0.3,0.479,0.812,0.397
2023-24,1610612746,76,1056,13.9,2.57,1.08,0.566,0.289,0.486,0.831,0.435
2024-25,1610612746,50,1135,22.7,3.4,2.12,1.28,0.16,0.488,0.824,0.419
