season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2016-17,1610612761,55,229,4.16,3.36,0.309,0.473,0.818,0.502,0.688,0.143
2017-18,1610612761,81,589,7.27,4.49,1.96,0.765,0.519,0.508,0.621,0.22
2018-19,1610612761,80,1354,16.9,6.86,3.1,0.912,0.65,0.549,0.785,0.369
2019-20,1610612761,60,1371,22.9,7.32,3.45,1.02,0.883,0.453,0.792,0.359
2020-21,1610612761,56,1196,21.4,7.23,4.46,1.14,0.661,0.455,0.827,0.297
2021-22,1610612761,68,1551,22.8,8.53,5.29,1.25,0.618,0.494,0.749,0.344
2022-23,1610612761,71,1720,24.2,7.83,5.85,0.915,0.507,0.48,0.774,0.324
2023-24,1610612761,39,865,22.2,6.31,4.87,0.821,0.256,0.522,0.758,0.317
2023-24,1610612754,41,872,21.3,7.78,3.71,0.756,0.366,0.549,0.699,0.386
2023-24,0,80,1737,21.7,7.06,4.28,0.787,0.312,0.536,0.732,0.346
2024-25,1610612754,69,1443,20.9,7.03,3.39,0.884,0.493,0.525,0.743,0.395
