season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2009-10,1610612757,10,26,2.6,0.2,0.5,0.0,0.0,0.417,0.571,0.5
2010-11,1610612757,64,353,5.52,0.797,1.7,0.422,0.0156,0.412,0.766,0.353
2011-12,1610612759,16,165,10.3,1.75,2.44,0.625,0.0625,0.485,1.0,0.429
2012-13,1610612759,58,294,5.07,0.862,1.07,0.448,0.069,0.469,0.842,0.4
2013-14,1610612759,81,826,10.2,2.09,1.84,0.84,0.111,0.464,0.89,0.425
2014-15,1610612759,51,351,6.88,1.47,1.71,0.549,0.0392,0.381,0.825,0.341
2015-16,1610612759,81,690,8.52,1.95,2.79,0.728,0.0741,0.425,0.81,0.384
2016-17,1610612759,80,759,9.49,1.76,3.5,0.812,0.0375,0.44,0.825,0.414
2017-18,1610612759,82,819,9.99,1.88,2.79,0.671,0.134,0.411,0.89,0.372
2018-19,1610612759,82,811,9.89,2.22,2.99,0.598,0.122,0.425,0.854,0.394
2019-20,1610612759,66,767,11.6,1.64,1.79,0.803,0.0909,0.431,0.866,0.382
2020-21,1610612759,68,736,10.8,1.71,2.38,0.618,0.0441,0.412,0.91,0.375
2021-22,1610612751,81,923,11.4,1.93,2.26,0.63,0.21,0.408,0.814,0.4
2022-23,1610612751,40,246,6.15,1.1,1.4,0.375,0.075,0.411,0.833,0.366
2023-24,1610612737,19,51,2.68,1.05,0.737,0.474,0.0526,0.373,,0.382
2023-24,1610612748,13,76,5.85,1.15,1.54,0.846,0.0,0.338,1.0,0.208
2023-24,0,32,127,3.97,1.09,1.06,0.625,0.0312,0.351,1.0,0.276
2024-25,1610612762,17,74,4.35,1.24,1.24,0.706,0.176,0.342,1.0,0.298
2024-25,1610612746,8,15,1.88,0.0,0.5,0.125,0.0,0.4,0.75,0.4
2024-25,0,25,89,3.56,0.84,1.0,0.52,0.12,0.349,0.889,0.313
