season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2010-11,1610612754,61,476,7.8,3.67,1.07,1.02,0.426,0.453,0.762,0.297
2011-12,1610612754,66,798,12.1,5.61,2.39,1.64,0.576,0.44,0.802,0.385
2012-13,1610612754,79,1377,17.4,7.63,4.14,1.81,0.646,0.419,0.807,0.362
2013-14,1610612754,80,1737,21.7,6.78,3.54,1.89,0.275,0.424,0.864,0.364
2014-15,1610612754,6,53,8.83,3.67,1.0,0.833,0.167,0.367,0.727,0.409
2015-16,1610612754,81,1874,23.1,6.95,4.06,1.88,0.358,0.418,0.86,0.371
2016-17,1610612754,75,1775,23.7,6.56,3.35,1.59,0.36,0.461,0.898,0.393
2017-18,1610612760,79,1734,21.9,5.66,3.33,2.04,0.494,0.43,0.822,0.401
2018-19,1610612760,77,2159,28.0,8.16,4.13,2.21,0.442,0.438,0.839,0.386
2019-20,1610612746,48,1033,21.5,5.67,3.85,1.42,0.417,0.439,0.876,0.412
2020-21,1610612746,54,1259,23.3,6.65,5.19,1.15,0.444,0.467,0.868,0.411
2021-22,1610612746,31,754,24.3,6.87,5.68,2.16,0.419,0.421,0.858,0.354
2022-23,1610612746,56,1332,23.8,6.11,5.14,1.48,0.357,0.457,0.871,0.371
2023-24,1610612746,74,1671,22.6,5.24,3.54,1.53,0.5,0.471,0.907,0.413
2024-25,1610612755,41,665,16.2,5.34,4.34,1.83,0.488,0.43,0.814,0.358
