season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2011-12,1610612760,45,140,3.11,1.18,1.58,0.556,0.0222,0.321,0.862,0.21
2012-13,1610612760,70,374,5.34,2.37,1.74,0.414,0.186,0.458,0.839,0.231
2013-14,1610612760,80,1047,13.1,3.91,4.14,1.06,0.113,0.44,0.893,0.339
2014-15,1610612760,50,641,12.8,4.02,4.28,0.84,0.1,0.432,0.861,0.278
2014-15,1610612765,27,476,17.6,4.67,9.19,0.741,0.148,0.436,0.796,0.337
2014-15,0,77,1117,14.5,4.25,6.0,0.805,0.117,0.434,0.83,0.299
2015-16,1610612765,79,1489,18.8,3.2,6.23,0.747,0.139,0.434,0.864,0.353
2016-17,1610612765,52,752,14.5,2.19,5.19,0.673,0.0962,0.419,0.868,0.359
2017-18,1610612765,45,656,14.6,2.78,5.29,0.6,0.0889,0.426,0.836,0.308
2018-19,1610612765,82,1260,15.4,2.63,4.2,0.671,0.11,0.421,0.864,0.369
2019-20,1610612765,14,209,14.9,2.93,5.14,0.571,0.0714,0.384,0.788,0.378
2019-20,1610612746,17,161,9.47,3.0,3.18,0.294,0.235,0.453,0.905,0.413
2019-20,0,31,370,11.9,2.97,4.06,0.419,0.161,0.411,0.833,0.393
2020-21,1610612746,67,715,10.7,2.87,3.06,0.612,0.104,0.45,0.817,0.433
2021-22,1610612746,75,1263,16.8,3.61,4.79,0.733,0.2,0.392,0.847,0.326
2022-23,1610612746,52,566,10.9,2.23,3.52,0.731,0.0962,0.418,0.924,0.35
2022-23,1610612743,16,127,7.94,1.75,3.12,0.562,0.0625,0.383,0.833,0.279
2022-23,0,68,693,10.2,2.12,3.43,0.691,0.0882,0.411,0.91,0.333
2023-24,1610612743,82,833,10.2,1.89,3.76,0.537,0.159,0.431,0.806,0.359
2024-25,1610612755,31,136,4.39,1.35,1.45,0.516,0.0968,0.391,0.778,0.338
